#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
	World	258,463,039	+468,923	5,174,964	+5,967	233,892,140	+442,690	19,395,935	80,460	33,158	663.9				
1	USA	48,749,200	+74,179	795,082	+553	38,633,890	+149,665	9,320,228	11,936	146,084	2,383	743,631,236	2,228,395	333,707,170	
2	India	34,526,480	+7,579	466,147	+236	33,934,547	+12,510	125,786	8,944	24,681	333	633,489,239	452,847	1,398,902,101	
3	Brazil	22,019,870	+2,594	612,842	+120	21,230,357	+8,325	176,671	8,318	102,578	2,855	63,776,166	297,097	214,664,519	
4	UK	9,889,924	+44,915	143,972	+45	8,751,945		994,007	911	144,626	2,105	354,308,340	5,181,240	68,382,922	
5	Russia	9,366,839	+35,681	265,336	+1,241	8,053,643	+28,713	1,047,860	2,300	64,147	1,817	221,000,000	1,513,474	146,021,689	
6	Turkey	8,596,410	+24,856	75,235	+193	8,120,882	+28,935	400,293	1,405	100,422	879	104,799,990	1,224,256	85,602,999	
7	France	7,420,237	+5,266	118,555	+94	7,052,321	+2,024	249,361	1,049	113,330	1,811	151,204,954	2,309,360	65,474,821	
8	Iran	6,082,865	+5,427	129,045	+89	5,795,060	+11,635	158,760	3,409	71,153	1,509	37,887,368	443,180	85,489,886	
9	Germany	5,418,681	+40,489	99,817	+204	4,649,300	+23,000	669,564	3,675	64,388	1,186	81,975,529	974,075	84,157,309	
10	Argentina	5,315,989	+641	116,382	+5	5,182,821	+1,455	16,786	566	116,137	2,543	25,918,391	566,232	45,773,465	
11	Spain	5,096,538	+5,291	87,832	+8	4,907,344	+1,873	101,362	458	108,947	1,878	66,213,858	1,415,430	46,780,022	
12	Colombia	5,050,255	+2,194	128,138	+45	4,890,990	+2,712	31,127	342	97,801	2,481	27,744,614	537,288	51,638,228	
13	Italy	4,932,088	+6,401	133,263	+72	4,647,330	+3,579	151,495	549	81,741	2,209	114,767,310	1,902,077	60,337,881	
14	Indonesia	4,253,598	+186	143,744	+5	4,101,889	+342	7,965		15,325	518	52,270,641	188,327	277,551,902	
15	Mexico	3,863,362	+1,225	292,471	+99	3,224,604	+2,225	346,287	4,798	29,532	2,236	11,704,633	89,472	130,819,408	
