#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
	World	265,832,946	+141,766	5,266,673	+2,843	239,543,138	+172,396	21,023,135	86,742	34,104	675.7				
1	USA	49,934,791		808,608		39,498,111		9,628,072	13,725	149,610	2,423	760,171,483	2,277,562	333,765,397	
2	India	34,633,255		470,620		34,060,774	+6,918	101,861	8,944	24,750	336	647,252,850	462,552	1,399,309,544	
3	Brazil	22,138,247		615,606		21,359,352		163,289	8,318	103,108	2,867	63,776,166	297,034	214,709,861	
4	UK	10,421,104		145,551		9,188,131		1,087,422	895	152,370	2,128	366,108,215	5,352,959	68,393,618	
5	Russia	9,801,613	+32,602	281,278	+1,206	8,502,406	+30,593	1,017,929	2,300	67,124	1,926	228,000,000	1,561,392	146,023,563	
6	Turkey	8,881,760		77,645		8,412,434		391,681	1,405	103,722	907	109,098,818	1,274,069	85,630,260	
7	France	7,875,012		119,506		7,168,139		587,367	2,058	120,267	1,825	167,925,512	2,564,565	65,479,150	
8	Germany	6,143,856		103,530		5,082,500	+24,400	957,826	4,636	72,997	1,230	85,782,441	1,019,213	84,165,340	
9	Iran	6,134,465	+3,109	130,200	+76	5,923,316	+7,117	80,949	3,249	71,730	1,522	39,093,355	457,114	85,522,195	
10	Argentina	5,339,382		116,643		5,200,141		22,598	657	116,616	2,548	26,387,800	576,330	45,785,918	
11	Spain	5,202,958		88,159		4,927,391		187,408	814	111,221	1,885	66,213,858	1,415,414	46,780,564	
12	Italy	5,094,072		134,152		4,736,202		223,718	732	84,429	2,223	121,810,009	2,018,887	60,335,220	
13	Colombia	5,078,987		128,733		4,918,619		31,635	342	98,326	2,492	28,293,690	547,749	51,654,519	
14	Indonesia	4,257,685	+196	143,867	+4	4,106,292	+298	7,526		15,335	518	55,884,039	201,283	277,638,777	
15	Mexico	3,900,293	+2,841	295,154	+251	3,255,802	+2,736	349,337	4,798	29,805	2,255	11,944,625	91,278	130,860,095	
16	Poland	3,671,421	+22,389	85,675	+45	3,142,265	+25,390	443,481	1,969	97,159	2,267	24,870,097	658,155	37,787,584	
17	Ukraine	3,497,477	+6,622	88,280	+278	3,050,659	+9,274	358,538	177	80,662	2,036	16,076,359	370,769	43,359,522	
18	South Africa	3,020,569		89,965		2,855,474		75,130	546	50,032	1,490	19,715,126	326,559	60,372,382	
19	Philippines	2,834,775	+603	49,386	+156	2,771,536	+1,047	13,853	899	25,389	442	24,390,103	218,440	111,655,624	
20	Netherlands	2,728,876		19,642		2,147,154		562,080	600	158,758	1,143	19,205,114	1,117,301	17,188,851	
21	Malaysia	2,654,474		30,574		2,561,232		62,668	490	80,546	928	38,278,869	1,161,519	32,955,873	
22	Peru	2,242,646		201,360		N/A	N/A	N/A	969	66,696	5,988	20,511,702	610,011	33,625,115	
