#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
	World	264,473,438	+39,586	5,250,054	+449	238,491,434	+29,495	20,731,950	86,999	33,929	673.5				
1	USA	49,716,825		806,398		39,389,646		9,520,781	13,475	148,962	2,416	757,565,059	2,269,825	333,754,810	
2	India	34,615,757		470,115		34,045,666	+8,612	99,976	8,944	24,739	336	644,668,082	460,729	1,399,235,464	
3	Brazil	22,118,782		615,225		21,351,505		152,052	8,318	103,021	2,865	63,776,166	297,046	214,701,617	
4	UK	10,329,074		145,281		9,126,128		1,057,665	931	151,028	2,124	364,875,273	5,335,083	68,391,673	
5	Russia	9,703,107		277,640		8,400,117		1,025,350	2,300	66,449	1,901	226,100,000	1,548,384	146,023,223	
6	Turkey	8,839,891		77,230		8,372,778		389,883	1,405	103,239	902	108,390,557	1,265,871	85,625,303	
7	France	7,773,530		119,330		7,141,173		513,027	1,934	118,719	1,822	162,981,031	2,489,082	65,478,363	
8	Iran	6,125,596		129,988		5,901,532		94,076	3,839	71,631	1,520	38,439,240	449,496	85,516,321	
9	Germany	6,026,796		102,909		4,979,700		944,187	4,636	71,608	1,223	83,816,414	995,872	84,163,880	
10	Argentina	5,335,310		116,617		5,196,096		22,597	617	116,533	2,547	26,305,365	574,558	45,783,654	
11	Spain	5,189,220		88,122		4,925,978		175,120	772	110,927	1,884	66,213,858	1,415,417	46,780,466	
12	Colombia	5,074,079		128,643		4,913,921		31,515	342	98,237	2,491	28,207,446	546,110	51,651,557	
13	Italy	5,060,430		134,003		4,717,556		208,871	698	83,871	2,221	120,584,972	1,998,567	60,335,704	
14	Indonesia	4,256,998		143,850		4,105,352		7,796		15,334	518	55,038,077	198,248	277,622,982	
15	Mexico	3,894,364	+3,146	294,715	+287	3,250,478	+2,466	349,171	4,798	29,761	2,252	11,904,011	90,973	130,852,697	
16	Poland	3,596,491		84,656		3,066,218		445,617	1,862	95,176	2,240	24,547,160	649,605	37,787,809	
17	Ukraine	3,463,872		87,057		2,995,727		381,088	177	79,885	2,008	15,962,709	368,136	43,360,950	
18	South Africa	2,988,148		89,915		2,850,905		47,328	546	49,499	1,489	19,580,433	324,350	60,368,296	
19	Philippines	2,833,473		48,752		2,769,533		15,188	1,023	25,379	437	24,313,150	217,767	111,647,653	
20	Netherlands	2,684,734		19,524		2,127,949		537,261	609	156,192	1,136	19,205,114	1,117,314	17,188,644	
21	Malaysia	2,644,027		30,521		2,551,253		62,253	511	80,235	926	38,028,329	1,153,996	32,953,607	
22	Peru	2,239,421		201,282		N/A	N/A	N/A	978	66,605	5,987	20,414,072	607,153	33,622,605	
23	Czechia	2,193,289		33,317		1,866,997		292,975	1,064	204,271	3,103	43,942,413	4,092,555	10,737,159	
24	Thailand	2,130,641	+4,912	20,878	+33	2,037,000	+5,844	72,763	1,369	30,417	298	14,913,135	212,898	70,048,383	
25	Iraq	2,082,774		23,859		2,047,266		11,649	107	50,187	575	16,384,117	394,798	41,500,033	
26	Belgium	1,809,557	+23,113	27,120	+48	1,351,555	+5,627	430,882	793	155,178	2,326	24,998,146	2,143,712	11,661,149	
27	Canada	1,798,872		29,737		1,742,524		26,611	497	47,077	778	49,000,664	1,282,362	38,211,249	
28	Romania	1,781,957		56,684		1,691,356		33,917	1,076	93,514	2,975	16,057,174	842,649	19,055,592	
29	Chile	1,766,493		38,403		1,659,724		68,366	706	91,297	1,985	25,724,028	1,329,488	19,348,816	
30	Japan	1,727,560	+130	18,363	+1	1,708,345	+126	852	32	13,719	146	28,040,512	222,672	125,927,160	
31	Bangladesh	1,576,827		27,986		1,541,661		7,180	1,382	9,441	168	10,928,659	65,435	167,015,002	
32	Israel	1,344,668		8,199		1,331,063		5,406	115	144,185	879	31,188,024	3,344,202	9,326,000	
33	Pakistan	1,286,022	+391	28,753	+8	1,245,155	+2,437	12,114	895	5,666	127	22,118,750	97,454	226,965,448	
34	Vietnam	1,266,288		25,658		1,005,310		235,320	6,600	12,845	260	68,989,197	699,829	98,580,073	
35	Serbia	1,259,005		11,792		1,199,419		47,794	177	144,922	1,357	6,845,489	787,976	8,687,438	
36	Sweden	1,209,935		15,130		1,160,273		34,532	43	118,754	1,485	13,708,481	1,345,479	10,188,553	
37	Austria	1,179,244		12,625		1,036,553		130,066	637	129,883	1,391	111,537,645	12,284,879	9,079,263	
38	Portugal	1,154,817		18,471		1,078,708		57,638	128	113,724	1,819	21,283,107	2,095,923	10,154,529	
39	Hungary	1,124,726		34,931		902,000		187,795	550	116,848	3,629	8,516,699	884,801	9,625,551	
40	Switzerland	1,029,804		11,574		864,890		153,340	218	117,768	1,324	12,532,330	1,433,191	8,744,354	
41	Kazakhstan	973,769	+724	12,734	+18	939,566	+1,231	21,469	528	50,996	667	11,575,012	606,181	19,094,986	
42	Jordan	963,655		11,661		894,077		57,917	1,139	93,136	1,127	12,271,386	1,186,019	10,346,704	
43	Cuba	962,778		8,305		953,722		751	22	85,075	734	11,138,793	984,270	11,316,809	
44	Greece	951,351		18,325		856,578		76,448	704	91,911	1,770	37,049,509	3,579,380	10,350,817	
45	Morocco	950,223		14,782		932,565		2,876	347	25,319	394	10,468,199	278,925	37,530,550	
46	Georgia	853,833		12,191		796,453		45,189		214,622	3,064	11,662,676	2,931,570	3,978,304	
47	Nepal	821,949		11,535		803,369		7,045		27,509	386	4,642,990	155,393	29,878,958	
48	UAE	742,109		2,148		737,024		2,937		73,770	214	101,637,361	10,103,376	10,059,743	
49	Tunisia	717,908		25,381		691,299		1,228	58	59,856	2,116	3,184,853	265,539	11,993,896	
50	Bulgaria	699,180		28,656		566,918		103,606	702	101,710	4,169	6,632,158	964,787	6,874,222	
51	Slovakia	697,471		14,606		571,218		111,647	600	127,663	2,673	4,636,537	848,655	5,463,393	
52	Lebanon	674,000		8,745		634,302		30,953	186	99,380	1,289	4,795,578	707,096	6,782,078	
53	Belarus	658,328		5,114		646,104		7,110		69,702	541	10,452,213	1,106,650	9,444,914	
54	Croatia	619,255		11,043		575,609		32,603	312	152,176	2,714	3,463,550	851,132	4,069,345	
55	Guatemala	618,727		15,967		601,471		1,289	5	33,654	868	3,134,598	170,499	18,384,867	
56	Azerbaijan	591,885		7,905		558,819		25,161		57,640	770	5,565,190	541,955	10,268,724	
57	Ireland	578,064		5,707		448,141		124,216	117	115,245	1,138	8,983,297	1,790,944	5,015,956	
58	Costa Rica	567,263		7,309		550,529		9,425	77	109,933	1,416	2,715,029	526,163	5,160,057	
59	Sri Lanka	565,471		14,399		541,124		9,948		26,251	668	5,661,108	262,811	21,540,570	
60	Saudi Arabia	549,810		8,839		538,966		2,005	42	15,452	248	31,570,182	887,254	35,581,898	
61	Bolivia	539,762		19,196		494,711		25,855	220	45,363	1,613	2,593,083	217,931	11,898,628	
62	Ecuador	526,870		33,250		443,880		49,740	759	29,234	1,845	2,013,368	111,714	18,022,579	
63	Myanmar	523,346		19,120		498,748		5,478		9,528	348	5,626,935	102,444	54,926,955	
64	Denmark	497,201		2,912		403,118		91,171	57	85,413	500	94,571,793	16,246,297	5,821,129	
65	Panama	478,275		7,370		468,201		2,704	20	108,428	1,671	4,251,681	963,885	4,410,982	
66	Lithuania	474,184		6,788		439,524		27,872	126	177,705	2,544	6,202,402	2,324,411	2,668,376	
67	Paraguay	463,199		16,475		445,928		796	47	63,831	2,270	1,953,621	269,216	7,256,692	
68	S. Korea	462,555	+4,943	3,739	+34	403,419	+2,834	55,397	736	9,011	73	15,804,065	307,881	51,331,769	
69	Venezuela	433,208		5,170		420,436		7,602	681	15,296	183	3,359,014	118,602	28,321,635	
70	Palestine	431,161		4,542		423,162		3,457	50	81,826	862	2,736,577	519,348	5,269,250	
71	Slovenia	425,288		5,255		386,456		33,577	274	204,530	2,527	1,949,539	937,575	2,079,343	
72	Kuwait	413,419		2,465		410,663		291	3	94,820	565	5,369,734	1,231,578	4,360,045	
73	Dominican Republic	407,629		4,210		400,836		2,583	167	37,050	383	2,467,839	224,306	11,002,099	
74	Uruguay	400,275		6,132		391,880		2,263	16	114,666	1,757	4,129,007	1,182,824	3,490,803	
75	Mongolia	382,898	+375	2,011	+3	313,256		67,631	192	114,193	600	4,030,048	1,201,898	3,353,070	
76	Honduras	378,113	+67	10,413	+1	121,722	+527	245,978	59	37,334	1,028	1,121,382	110,724	10,127,749	
77	Libya	373,739		5,476		350,239		18,024		53,363	782	1,917,300	273,756	7,003,681	
78	Ethiopia	371,803		6,784		349,306		15,713	212	3,125	57	3,883,635	32,637	118,993,061	
79	Moldova	365,165		9,162		348,945		7,058	206	90,822	2,279	2,210,968	549,901	4,020,662	
80	Egypt	360,435		20,594		298,865		40,976	90	3,431	196	3,693,367	35,152	105,067,498	
81	Armenia	339,578		7,631		318,481		13,466		114,294	2,568	2,382,972	802,051	2,971,098	
82	Oman	304,581		4,113		300,021		447	2	57,573	777	25,000,000	4,725,554	5,290,385	
83	Bahrain	277,752		1,394		276,039		319	2	155,589	781	7,439,950	4,167,649	1,785,167	
84	Bosnia and Herzegovina	276,548		12,658		192,218		71,672		85,043	3,893	1,404,535	431,917	3,251,863	
85	Norway	275,763		1,093		88,952		185,718	64	50,309	199	8,640,313	1,576,315	5,481,338	
86	Singapore	267,150		735		255,124		11,291	60	45,160	124	21,098,774	3,566,651	5,915,570	
87	Latvia	255,402		4,232		239,465		11,705	144	137,564	2,279	5,357,720	2,885,767	1,856,602	
88	Kenya	255,260		5,335		248,376		1,549	20	4,604	96	2,843,958	51,291	55,447,839	
89	Qatar	243,758		611		241,061		2,086	11	86,814	218	3,005,203	1,070,303	2,807,805	
90	Estonia	223,689		1,808		205,296		16,585	34	168,466	1,362	2,346,185	1,766,972	1,327,800	
91	North Macedonia	216,328		7,609		200,669		8,050		103,841	3,652	1,476,534	708,764	2,083,253	
92	Australia	214,879	+1,519	2,033	+12	195,686		17,160	71	8,290	78	48,415,662	1,867,947	25,919,178	
93	Nigeria	214,270		2,978		207,312		3,980	11	1,004	14	3,580,510	16,781	213,369,140	
94	Algeria	210,921		6,083		144,753		60,085	16	4,690	135	230,861	5,133	44,972,408	
95	Zambia	210,220		3,667		206,425		128	7	10,999	192	2,731,797	142,935	19,112,199	
96	Albania	200,639		3,104		190,902		6,633	23	69,828	1,080	1,398,152	486,595	2,873,339	
97	Botswana	195,302		2,419		192,452		431	1	80,742	1,000	1,873,214	774,423	2,418,852	
98	Uzbekistan	193,633		1,409		190,305		1,919	23	5,669	41	1,377,915	40,341	34,156,404	
99	Finland	189,730		1,356		46,000		142,374	51	34,168	244	7,984,794	1,437,943	5,552,928	
100	Kyrgyzstan	183,460		2,752		178,404		2,304	131	27,478	412	1,838,750	275,400	6,676,656	
101	Montenegro	157,869		2,314		153,137		2,418	60	251,312	3,684	910,976	1,450,185	628,179	
102	Afghanistan	157,387		7,310		140,596		9,481	1,124	3,918	182	793,967	19,766	40,169,237	
103	Mozambique	151,652		1,941		149,538		173	8	4,667	60	981,358	30,201	32,494,032	
104	Zimbabwe	136,379		4,707		128,829		2,843	12	8,990	310	1,607,765	105,987	15,169,450	
105	Cyprus	135,503		598		124,370		10,535	51	111,084	490	9,477,138	7,769,292	1,219,820	
