#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
	World	259,020,865	+557,826	5,183,131	+8,167	234,344,441	+452,301	19,493,293	81,703	33,230	664.9				
1	USA	48,835,216	+86,016	796,319	+1,237	38,709,704	+75,814	9,329,193	12,178	146,342	2,386	744,675,751	2,231,525	333,707,170	
2	India	34,535,763	+9,283	466,584	+437	33,946,749	+12,202	122,430	8,944	24,688	334	633,489,239	452,847	1,398,902,101	
3	Brazil	22,038,731	+18,861	613,240	+398	21,247,982	+17,625	177,509	8,318	102,666	2,857	63,776,166	297,097	214,664,519	
4	UK	9,932,408	+42,484	144,137	+165	8,791,315	+39,370	996,956	928	145,247	2,108	355,369,515	5,196,758	68,382,922	
5	Russia	9,400,835	+33,996	266,579	+1,243	8,089,694	+36,051	1,044,562	2,300	64,380	1,826	221,400,000	1,516,213	146,021,689	
6	Turkey	8,624,580	+28,170	75,443	+208	8,150,235	+29,353	398,902	1,405	100,751	881	105,165,402	1,228,525	85,602,999	
7	France	7,450,691	+30,454	118,653	+98	7,062,277	+9,956	269,761	1,406	113,795	1,812	161,863,693	2,472,152	65,474,821	
8	Iran	6,088,009	+5,144	129,177	+132	5,807,089	+12,029	151,743	3,386	71,213	1,511	37,996,904	444,461	85,489,886	
9	Germany	5,472,949	+54,268	100,160	+343	4,680,000	+30,700	692,789	3,845	65,032	1,190	81,975,529	974,075	84,157,309	
10	Argentina	5,317,633	+1,644	116,415	+33	5,183,960	+1,139	17,258	570	116,173	2,543	25,947,674	566,872	45,773,465	
11	Spain	5,103,315	+6,777	87,866	+34	4,909,900	+2,556	105,549	547	109,092	1,878	66,213,858	1,415,430	46,780,022	
12	Colombia	5,052,733	+2,478	128,188	+50	4,893,420	+2,430	31,125	342	97,849	2,482	27,788,024	538,129	51,638,228	
13	Italy	4,942,135	+10,047	133,330	+67	4,654,295	+6,965	154,510	560	81,908	2,210	115,456,590	1,913,501	60,337,881	
14	Indonesia	4,253,992	+394	143,753	+9	4,102,323	+434	7,916		15,327	518	52,531,079	189,266	277,551,902	
15	Mexico	3,864,278	+916	292,524	+53	3,227,027	+2,423	344,727	4,798	29,539	2,236	11,709,481	89,509	130,819,408	
16	Poland	3,377,698	+19,936	81,228	+398	2,913,320	+11,520	383,150	1,551	89,384	2,150	23,788,624	629,515	37,788,825	
17	Ukraine	3,353,136	+12,729	82,318	+720	2,796,597	+23,107	474,221	177	77,319	1,898	15,595,737	359,619	43,367,377	
18	South Africa	2,948,760	+868	89,635	+51	2,838,524		20,601	546	48,861	1,485	19,126,699	316,930	60,349,910	
19	Philippines	2,827,770	+1,103	47,482	+195	2,761,404	+1,969	18,884	1,170	25,336	425	23,984,981	214,896	111,611,785	
20	Malaysia	2,597,080	+5,594	30,110	+47	2,498,345	+4,908	68,625	532	78,835	914	36,888,543	1,119,755	32,943,410	
21	Netherlands	2,488,244	+22,956	19,048	+53	2,063,568	+6,261	405,628	499	144,769	1,108	19,205,114	1,117,374	17,187,715	
22	Peru	2,226,656	+1,539	200,931	+37	N/A	N/A	N/A	903	66,247	5,978	20,008,200	595,282	33,611,307	
23	Iraq	2,076,146	+898	23,712	+26	2,035,630	+1,334	16,804	110	50,054	572	16,215,201	390,937	41,477,784	
24	Thailand	2,076,135	+5,126	20,487	+53	1,972,553	+7,748	83,095	1,595	29,640	292	14,913,135	212,911	70,044,088	
25	Czechia	2,018,154	+14,492	32,360	+95	1,785,495	+471	200,299	764	187,968	3,014	42,846,389	3,990,658	10,736,672	
26	Canada	1,772,319	+2,213	29,555	+29	1,719,116	+2,663	23,648	480	46,392	774	48,215,038	1,262,071	38,203,121	
27	Romania	1,766,987	+2,736	55,386	+243	1,653,179	+7,447	58,422	1,490	92,713	2,906	15,783,964	828,175	19,058,731	
28	Chile	1,747,065	+1,760	38,161	+12	1,643,679	+1,779	65,225	654	90,312	1,973	25,126,071	1,298,855	19,344,785	
29	Japan	1,726,511	+34	18,349	+2	1,706,997	+130	1,165	60	13,709	146	27,551,935	218,776	125,936,639	
30	Belgium	1,623,560	+14,338	26,669	+35	1,284,012	+6,201	312,879	632	139,243	2,287	23,782,072	2,039,644	11,659,912	
31	Bangladesh	1,574,636	+284	27,958	+3	1,538,855	+318	7,823	1,377	9,430	167	10,761,979	64,453	166,974,687	
32	Israel	1,341,305	+140	8,177		1,327,046	+35	6,082	128	143,824	877	31,188,024	3,344,202	9,326,000	
33	Pakistan	1,282,510	+315	28,668	+5	1,238,980	+8,010	14,862	1,026	5,653	126	21,717,637	95,732	226,859,803	
34	Serbia	1,238,861	+3,033	11,335	+54	1,163,052	+5,669	64,474	213	142,590	1,305	6,693,075	770,355	8,688,299	
35	Sweden	1,192,560		15,094		1,152,609	+824	24,857	25	117,067	1,482	13,586,095	1,333,669	10,187,008	
36	Vietnam	1,143,967	+11,132	24,118	+167	911,310	+1,034	208,539	5,295	11,607	245	66,370,020	673,407	98,558,559	
37	Portugal	1,126,318	+2,560	18,353	+14	1,062,195	+2,535	45,770	93	110,910	1,807	20,775,333	2,045,771	10,155,257	
38	Austria	1,079,932	+9,513	12,114	+72	918,366	+12,973	149,452	577	118,961	1,334	107,616,106	11,854,603	9,078,002	
39	Hungary	1,032,215	+6,518	33,343	+171	851,314	+3,322	147,558	663	107,230	3,464	8,157,875	847,470	9,626,152	
40	Kazakhstan	965,518	+769	12,577	+16	927,618	+1,482	25,323	528	50,579	659	11,575,012	606,356	19,089,465	
41	Cuba	961,276	+234	8,298	+3	951,670	+346	1,308	39	84,941	733	10,961,558	968,594	11,316,978	
42	Switzerland	957,764	+4,388	11,427	+2	850,413		95,924	148	109,549	1,307	12,048,025	1,378,051	8,742,800	
43	Morocco	949,133	+157	14,766	+2	931,298	+155	3,069	347	25,297	394	10,355,588	276,003	37,519,795	
44	Jordan	923,722	+4,549	11,403	+26	869,540	+2,551	42,779	936	89,298	1,102	11,840,048	1,144,606	10,344,216	
45	Greece	894,555	+8,100	17,517	+92	797,643	+6,659	79,395	597	86,413	1,692	33,781,234	3,263,237	10,352,063	
46	Nepal	819,699	+313	11,509	+9	800,890	+273	7,300		27,446	385	4,576,966	153,250	29,866,054	
47	Georgia	819,182	+5,085	11,615	+62	759,657	+4,428	47,910		205,903	2,919	11,265,085	2,831,496	3,978,492	
48	UAE	741,570	+70	2,144		736,333	+86	3,093		73,738	213	99,402,000	9,884,054	10,056,805	
49	Tunisia	716,609	+311	25,354	+7	690,226	+193	1,029	58	59,763	2,114	3,151,570	262,831	11,990,857	
50	Bulgaria	679,983	+3,233	27,658	+151	545,753	+3,026	106,572	777	98,899	4,023	6,373,056	926,922	6,875,501	
51	Lebanon	660,442	+482	8,666	+11	627,512		24,264	186	97,370	1,278	4,795,578	707,018	6,782,826	
52	Belarus	643,372	+1,453	4,979	+14	627,789	+1,461	10,604		68,118	527	10,228,936	1,083,001	9,444,990	
53	Slovakia	621,423	+6,739	13,985	+66	512,689	+4,900	94,749	558	113,744	2,560	4,414,168	807,963	5,463,328	
54	Guatemala	614,910	+960	15,855	+6	597,044	+854	2,011	5	33,461	863	3,074,517	167,305	18,376,706	
55	Azerbaijan	576,703	+1,904	7,686	+29	541,327	+1,833	27,690		56,173	749	5,449,379	530,793	10,266,479	
56	Croatia	576,633	+4,926	10,438	+62	535,654	+4,048	30,541	317	141,680	2,565	3,366,965	827,271	4,069,964	
57	Costa Rica	566,119	+167	7,271	+7	541,156	+678	17,692	110	109,736	1,409	2,715,029	526,279	5,158,914	
58	Sri Lanka	558,860	+1,499	14,182	+24	527,528	+418	17,150		25,947	658	5,500,800	255,395	21,538,368	
59	Saudi Arabia	549,556	+38	8,827	+1	538,672	+32	2,057	50	15,451	248	31,078,369	873,760	35,568,557	
60	Ireland	538,255	+3,661	5,609		425,860	+1,731	106,786	130	107,338	1,119	8,762,233	1,747,344	5,014,600	
61	Bolivia	530,369	+883	19,080	+12	487,824	+776	23,465	220	44,589	1,604	2,569,451	216,016	11,894,712	
62	Ecuador	524,432		33,128		443,880		47,424	759	29,109	1,839	1,991,800	110,557	18,015,987	
63	Myanmar	519,102	+631	19,041	+7	492,558	+777	7,503		9,452	347	5,422,639	98,741	54,918,000	
64	Panama	476,343	+214	7,356	+2	466,519	+199	2,468	20	108,031	1,668	4,195,059	951,409	4,409,310	
65	Paraguay	462,389	+58	16,364	+1	445,411	+33	614	37	63,738	2,256	1,934,490	266,659	7,254,538	
66	Lithuania	458,452	+1,993	6,591	+31	422,629	+3,749	29,232	136	171,750	2,469	6,012,112	2,252,315	2,669,303	
67	Denmark	458,001	+4,199	2,820	+4	403,118		52,063	50	78,686	484	91,411,505	15,704,747	5,820,629	
68	Palestine	428,342		4,513		421,249		2,580	40	81,336	857	2,704,107	513,471	5,266,326	
69	Venezuela	426,799	+785	5,097	+9	413,380	+940	8,322	681	15,069	180	3,359,014	118,594	28,323,608	
70	S. Korea	420,950	+2,698	3,328	+30	378,561	+1,855	39,061	549	8,201	65	15,804,065	307,887	51,330,688	
71	Kuwait	413,177	+12	2,465	+1	410,471	+21	241	2	94,798	566	5,216,088	1,196,764	4,358,492	
72	Slovenia	405,477	+3,394	5,103	+23	355,539	+3,324	44,835	204	195,003	2,454	1,895,871	911,768	2,079,336	
73	Dominican Republic	404,284	+846	4,194	+4	396,135	+1,244	3,955	193	36,755	381	2,416,483	219,692	10,999,426	
74	Uruguay	398,213	+223	6,116	+1	390,139	+198	1,958	15	114,085	1,752	4,043,364	1,158,388	3,490,508	
75	Mongolia	378,199	+525	1,958	+10	313,256		62,985	192	112,836	584	4,030,048	1,202,364	3,351,771	
76	Honduras	377,527	+28	10,394	+6	119,594	+248	247,539	57	37,291	1,027	1,115,710	110,206	10,123,872	
77	Ethiopia	370,522	+190	6,704	+11	347,569	+627	16,249	231	3,116	56	3,830,074	32,206	118,922,825	
78	Libya	368,987	+595	5,403	+13	332,892	+1,906	30,692		52,702	772	1,881,458	268,727	7,001,383	
79	Moldova	359,401	+544	8,915	+46	342,356	+1,313	8,130	145	89,383	2,217	2,171,504	540,055	4,020,892	
80	Egypt	352,123	+856	20,052	+61	293,374	+719	38,697	90	3,353	191	3,693,367	35,168	105,019,965	
81	Armenia	334,878	+531	7,356	+48	308,922	+1,438	18,600		112,717	2,476	2,318,552	780,404	2,970,963	
82	Oman	304,509	+10	4,113		299,928	+7	468	13	57,594	778	25,000,000	4,728,417	5,287,182	
83	Bahrain	277,444	+23	1,394		275,794	+17	256	2	155,544	782	7,283,971	4,083,619	1,783,705	
84	Bosnia and Herzegovina	270,498	+594	12,338	+29	192,218		65,942		83,170	3,794	1,372,920	422,130	3,252,362	
85	Singapore	255,431	+1,782	672	+5	236,634	+1,778	18,125	64	43,188	114	21,098,774	3,567,332	5,914,440	
86	Kenya	254,781	+53	5,330	+2	247,992	+17	1,459	20	4,597	96	2,807,014	50,651	55,418,646	
87	Latvia	247,758	+1,293	4,007	+40	228,732	+407	15,019	184	133,410	2,158	5,268,128	2,836,731	1,857,112	
88	Norway	246,822	+1,520	1,003	+1	88,952		156,867	57	45,038	183	8,476,638	1,546,748	5,480,297	
89	Qatar	242,375	+147	611		239,888	+176	1,876	11	86,322	218	2,956,625	1,053,002	2,807,805	
90	Estonia	218,604	+821	1,754	+8	193,601	+671	23,249	48	164,639	1,321	2,296,506	1,729,585	1,327,779	
91	Nigeria	213,677	+52	2,974		206,797	+19	3,906	11	1,002	14	3,440,172	16,133	213,243,124	
92	North Macedonia	212,865	+490	7,464	+15	197,120	+484	8,281		102,179	3,583	1,453,084	697,507	2,083,255	
93	Zambia	210,090	+17	3,667		206,322	+6	101	5	11,000	192	2,691,302	140,910	19,099,490	
94	Algeria	209,283	+172	6,030	+4	143,532	+119	59,721	22	4,656	134	230,861	5,136	44,952,911	
95	Australia	200,654	+1,003	1,968	+20	186,390	+1,154	12,296	80	7,744	76	46,829,634	1,807,263	25,911,905	
96	Albania	197,167	+556	3,053	+4	186,267	+698	7,847	3	68,618	1,062	1,376,320	478,984	2,873,416	
97	Botswana	194,652		2,416		191,529		707	1	80,512	999	1,855,782	767,587	2,417,682	
98	Uzbekistan	191,750	+174	1,382	+4	188,301	+178	2,067	23	5,616	40	1,377,915	40,355	34,144,472	
99	Kyrgyzstan	182,953	+69	2,729	+2	177,599	+100	2,625	131	27,413	409	1,812,784	271,619	6,674,007	
100	Finland	178,527	+1,088	1,263	+5	46,000		131,264	43	32,151	227	7,803,810	1,405,404	5,552,717	
101	Afghanistan	157,015	+51	7,305	+2	140,326	+36	9,384	1,124	3,911	182	786,248	19,584	40,147,626	
102	Montenegro	155,365	+354	2,261	+8	149,878	+451	3,226	60	247,327	3,599	891,655	1,419,433	628,177	
103	Mozambique	151,495	+3	1,939	+1	149,460		96	8	4,665	60	969,546	29,858	32,472,416	
104	Zimbabwe	133,707	+33	4,703	+4	128,494	+29	510	12	8,817	310	1,572,508	103,699	15,164,128	
105	Cyprus	131,028	+437	591		124,370	+251	6,067	37	107,435	485	9,477,138	7,770,668	1,219,604	
106	Ghana	130,920	+93	1,209	+1	129,042	+157	669	5	4,094	38	1,933,408	60,466	31,975,188	
107	Namibia	129,105		3,569		125,452		84	2	49,562	1,370	778,262	298,764	2,604,937	
108	Uganda	127,230	+31	3,250	+1	97,307		26,673	164	2,665	68	1,922,628	40,266	47,747,688	
109	Cambodia	119,943	+39	2,909	+4	116,320	+34	714		7,038	171	2,696,502	158,235	17,041,105	
110	El Salvador	118,041		3,759	+3	101,092		13,190	316	18,072	575	1,408,214	215,593	6,531,810	
111	Cameroon	106,190		1,770		102,716		1,704	152	3,866	64	1,751,774	63,783	27,464,572	
112	Rwanda	100,255	+23	1,341		45,521		53,393	1	7,482	100	3,384,204	252,579	13,398,615	
113	China	98,524	+19	4,636		92,882	+64	1,006	8	68	3	160,000,000	111,163	1,439,323,776	
114	Maldives	90,944	+123	248		88,715	+139	1,981	23	164,220	448	1,722,960	3,111,199	553,793	
115	Jamaica	90,855	+48	2,363	+4	61,965	+129	26,527	8	30,497	793	665,862	223,505	2,979,178	
116	Luxembourg	86,796	+159	862		82,489	+46	3,445	10	135,586	1,347	3,660,620	5,718,352	640,153	
117	Senegal	73,970	+1	1,885	+2	72,078		7	2	4,262	109	865,809	49,882	17,357,279	
118	Trinidad and Tobago	66,975	+682	1,998	+21	56,030	+409	8,947	22	47,642	1,421	438,193	311,703	1,405,804	
119	Angola	65,061	+28	1,730		63,129	+6	202	28	1,898	50	1,170,663	34,143	34,286,565	
120	Laos	64,482	+1,323	137	+4	7,339		57,006		8,687	18	748,091	100,786	7,422,535	
121	Malawi	61,865		2,304		58,756	+1	805	67	3,122	116	437,942	22,099	19,817,140	
122	Ivory Coast	61,652	+61	703		60,597	+23	352		2,259	26	1,131,105	41,453	27,286,452	
123	Réunion	59,048	+1,875	381	+2	56,040	+1,239	2,627	18	65,303	421	1,347,378	1,490,110	904,214	
124	DRC	58,029	+52	1,104		50,930		5,995		622	12	306,299	3,281	93,344,382	
125	Guadeloupe	55,147		746		2,250		52,151	23	137,792	1,864	551,264	1,377,406	400,219	
126	Fiji	52,468		695		50,855		918		57,944	768	457,742	505,516	905,495	
127	Suriname	50,531	+67	1,152		29,556	+4	19,823	12	85,076	1,940	156,763	263,931	593,954	
128	Syria	47,448	+117	2,714	+5	28,517	+93	16,217		2,623	150	103,566	5,724	18,091,775	
129	Eswatini	46,498	+7	1,248		45,223	+5	27	10	39,509	1,060	383,567	325,915	1,176,894	
130	French Guiana	45,731	+56	323		11,254		34,154	11	147,784	1,044	444,733	1,437,200	309,444	
131	French Polynesia	45,609		636		N/A	N/A	N/A	7	161,065	2,246	26,355	93,071	283,171	
132	Martinique	44,318		700		104		43,514	1	118,226	1,867	416,247	1,110,410	374,859	
133	Madagascar	44,072	+400	967	+3	41,322		1,783	3	1,537	34	249,510	8,700	28,680,656	
134	Sudan	41,890	+68	3,114	+11	32,905		5,871		925	69	238,579	5,270	45,272,968	
135	Malta	38,842	+71	464		37,078	+30	1,300	2	87,643	1,047	1,211,456	2,733,541	443,182	
136	Mauritania	38,796	+97	822	+1	37,078	+57	896	22	8,050	171	492,866	102,264	4,819,549	
137	Cabo Verde	38,336	+5	349		37,924	+4	63	23	67,924	618	211,166	374,144	564,397	
138	Guyana	37,445	+89	979	+2	34,716	+150	1,750	9	47,289	1,236	383,077	483,780	791,841	
139	Gabon	37,158		274		31,282		5,602	11	16,164	119	1,387,255	603,479	2,298,763	
140	Papua New Guinea	34,605	+133	530	+20	32,938	+159	1,137	7	3,768	58	243,396	26,506	9,182,836	
141	Guinea	30,747		387		29,708		652	24	2,256	28	567,389	41,634	13,627,918	
142	Belize	29,861	+179	566	+2	27,983	+210	1,312	10	73,248	1,388	340,447	835,100	407,672	
143	Tanzania	26,261	+34	730	+3	N/A	N/A	N/A	7	423	12			62,098,681	
144	Togo	26,219	+9	243		25,867	+11	109		3,067	28	573,118	67,043	8,548,539	
145	Haiti	24,950		719		20,879		3,352		2,152	62	132,422	11,420	11,596,090	
146	Benin	24,846		161		24,546		139	5	1,977	13	604,310	48,096	12,564,609	
147	Barbados	24,234	+290	213	+2	15,910	+423	8,111		84,185	740	427,767	1,485,999	287,865	
148	Somalia	22,969		1,324		11,714		9,931		1,391	80	262,138	15,878	16,509,466	
149	Seychelles	22,831		125		22,359		347		230,163	1,260	21,504	216,785	99,195	
150	Bahamas	22,665		671		21,560		434	9	56,879	1,684	165,244	414,688	398,478	
151	Lesotho	21,735	+4	662		13,601		7,472		10,035	306	254,614	117,555	2,165,907	
152	Mayotte	20,860		185		2,964		17,711		73,980	656	176,919	627,444	281,968	
153	Burundi	20,349	+11	38		773		19,538		1,643	3	345,742	27,921	12,382,849	
154	Timor-Leste	19,820	+1	122		19,691	+2	7		14,645	90	169,501	125,242	1,353,384	
155	Mauritius	18,979		240		1,854		16,885		14,889	188	358,675	281,378	1,274,710	
156	Congo	18,837	+120	349	+10	12,421		6,067		3,301	61	188,207	32,979	5,706,930	
157	Curaçao	17,348	+13	178	+1	17,051	+12	119	4	105,122	1,079	327,772	1,986,160	165,028	
158	Nicaragua	17,152	+129	209	+1	4,225		12,718		2,547	31			6,734,309	
159	Tajikistan	17,095		124		16,966		5		1,738	13			9,835,576	
160	Mali	17,024	+61	601	+7	15,030	+22	1,393		808	29	480,603	22,819	21,061,383	
161	Iceland	17,002	+202	34		15,233	+151	1,735	3	49,377	99	1,226,967	3,563,357	344,329	
162	Channel Islands	16,629	+350	100		14,559	+212	1,970		94,432	568	1,054,367	5,987,490	176,095	
163	Taiwan	16,539	+7	848		15,580	+7	111		693	36	8,176,273	342,435	23,876,859	
164	Andorra	16,342	+43	130		15,688	+42	524	4	211,036	1,679	193,595	2,500,032	77,437	
165	Aruba	16,230	+20	173		15,874	+6	183	11	151,120	1,611	177,885	1,656,316	107,398	
166	Burkina Faso	15,514		265		15,009		240		715	12	226,312	10,429	21,699,930	
167	Brunei	14,701	+71	96		14,162	+55	443		33,162	217	592,626	1,336,809	443,314	
168	Equatorial Guinea	13,547	+9	170		13,315	+41	62	1	9,234	116	242,340	165,194	1,467,005	
169	Djibouti	13,503	+2	186		13,290	+2	27		13,396	185	244,570	242,629	1,008,001	
170	Saint Lucia	12,909	+5	279	+1	12,488	+5	142	5	69,855	1,510	92,125	498,520	184,797	
171	South Sudan	12,684	+4	133		12,169		382	2	1,115	12	259,491	22,809	11,376,481	
172	Hong Kong	12,411	+6	213		12,121	+2	77		1,637	28	27,124,160	3,577,577	7,581,713	
173	New Caledonia	11,954	+45	276		55		11,623	16	41,317	954	42,756	147,780	289,321	
174	CAR	11,708	+42	101		6,859		4,748	2	2,367	20	60,228	12,176	4,946,628	
175	Isle of Man	10,720	+70	66		10,216	+42	438	1	125,146	770	133,676	1,560,542	85,660	
176	New Zealand	10,393	+217	40		5,525	+27	4,828	64	2,078	8	4,711,422	941,889	5,002,100	
177	Gambia	9,988		342		9,636		10	3	3,978	136	121,854	48,528	2,511,023	
178	Yemen	9,967	+6	1,942	+3	6,781	+14	1,244	23	324	63	265,253	8,629	30,739,596	
179	Eritrea	7,223	+35	55		6,982	+17	186		1,998	15	23,693	6,555	3,614,757	
180	Gibraltar	6,996	+48	98		6,230	+172	668	2	207,738	2,910	408,786	12,138,433	33,677	
181	Niger	6,877	+26	246		6,472	+26	159	2	271	10	184,983	7,276	25,423,170	
182	Guinea-Bissau	6,437	+3	146		6,239	+58	52		3,167	72	105,463	51,884	2,032,680	
183	Sierra Leone	6,400		121		N/A	N/A	N/A		780	15	160,729	19,595	8,202,651	
184	Cayman Islands	6,091		4		2,040		4,047	21	91,187	60	139,740	2,092,010	66,797	
185	Grenada	5,878	+2	200		5,622	+3	56		51,903	1,766	86,590	764,592	113,250	
186	Liberia	5,819		287		5,523		9	2	1,114	55	128,246	24,554	5,222,984	
187	San Marino	5,790		93		5,519		178	2	170,144	2,733	88,512	2,600,999	34,030	
188	Bermuda	5,724		106		5,593		25	2	92,387	1,711	635,146	10,251,400	61,957	
189	Dominica	5,642		35		5,199		408		78,106	485	104,184	1,442,293	72,235	
190	St. Vincent Grenadines	5,414		73		4,878		463	7	48,586	655	89,297	801,366	111,431	
191	Chad	5,105		175		4,874		56		299	10	148,082	8,669	17,080,860	
192	Sint Maarten	4,565	+4	75		4,465	+5	25	10	104,812	1,722	62,056	1,424,806	43,554	
193	Comoros	4,466	+9	150		4,243	+13	73		4,988	168			895,367	
194	Liechtenstein	4,242	+28	61		3,807	+38	374	3	110,812	1,593	77,368	2,021,055	38,281	
195	Antigua and Barbuda	4,138	+2	117		3,995	+3	26	11	41,773	1,181	17,782	179,509	99,059	
196	Saint Martin	3,949		56		1,399		2,494	7	99,763	1,415	54,303	1,371,842	39,584	
197	Sao Tome and Principe	3,731		56		3,675	+1	0		16,595	249	14,689	65,336	224,822	
198	Monaco	3,612	+45	36		3,460	+5	116	1	91,143	908	54,960	1,386,828	39,630	
199	Faeroe Islands	3,244	+35	12		2,864	+39	368	8	66,040	244	547,000	11,135,540	49,122	
200	Turks and Caicos	3,085		23		2,997		65	1	78,208	583	94,789	2,403,007	39,446	
201	Saint Kitts and Nevis	2,774	+7	28		2,716	+7	30	1	51,635	521	55,608	1,035,087	53,723	
202	British Virgin Islands	2,765		38		N/A	N/A	N/A	7	90,623	1,245	82,570	2,706,237	30,511	
203	Caribbean Netherlands	2,763	+49	21		2,570	+23	172		104,017	791	28,170	1,060,498	26,563	
204	Bhutan	2,633	+1	3		2,620	+1	10		3,361	4	1,231,775	1,572,263	783,441	
205	St. Barth	1,595		6		462		1,127		160,803	605	38,369	3,868,233	9,919	
206	Anguilla	1,334	+66	3		1,207	+51	124		87,821	197	51,382	3,382,620	15,190	
207	Greenland	1,292	+104			1,011	+49	281	2	22,704		105,920	1,861,282	56,907	
208	Diamond Princess	712		13		699		0							
209	Wallis and Futuna	445		7		438		0		40,587	638	20,508	1,870,485	10,964	
210	Macao	77				77		0		116		5,019	7,585	661,659	
211	Falkland Islands	72				68		4		19,884		7,747	2,139,464	3,621	
212	Montserrat	44		1		40		3		8,807	200	2,849	570,256	4,996	
213	Saint Pierre Miquelon	44	+11			32		12		7,646		11,864	2,061,512	5,755	
214	Vatican City	27				27		0		33,582				804	
