#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
	World	260,270,875	+571,727	5,199,077	+7,149	235,236,560	+391,888	19,835,238	82,670	33,390	667.0				
1	USA	48,999,737	+27,187	798,551	+306	38,799,986	+12,292	9,401,200	12,259	146,830	2,393	747,324,581	2,239,391	333,717,757	
2	India	34,555,431	+10,549	467,468	+488	33,967,962	+10,264	120,001	8,944	24,701	334	635,924,763	454,564	1,398,976,181	
3	Brazil	22,055,608	+12,191	613,697	+281	21,275,209	+10,496	166,702	8,318	102,741	2,859	63,776,166	297,086	214,672,763	
4	UK	10,021,497	+47,240	144,433	+147	8,874,965	+40,777	1,002,099	928	146,546	2,112	357,537,501	5,228,313	68,384,867	
5	Russia	9,468,189	+33,796	269,057	+1,238	8,164,826	+38,450	1,034,306	2,300	64,841	1,843	222,300,000	1,522,373	146,022,030	
6	Turkey	8,676,639	+24,467	75,840	+222	8,208,159	+29,639	392,640	1,405	101,353	886	105,892,796	1,236,950	85,607,956	
7	France	7,516,746	+33,464	118,777	+43	7,080,598	+8,917	317,371	1,499	114,802	1,814	161,863,693	2,472,122	65,475,608	
8	Iran	6,097,672	+4,850	129,376	+96	5,830,653	+11,628	137,643	3,368	71,321	1,513	38,219,247	447,031	85,495,760	
9	Germany	5,623,047	+76,132	100,796	+315	4,744,400	+31,500	777,851	4,070	66,815	1,198	81,975,529	974,058	84,158,769	
10	Argentina	5,322,127	+2,260	116,480	+22	5,186,639	+1,666	19,008	604	116,265	2,545	26,029,617	568,634	45,775,729	
11	Spain	5,121,100	+9,258	87,931	+27	4,912,818	+1,457	120,351	571	109,472	1,880	66,213,858	1,415,427	46,780,120	
12	Colombia	5,057,897	+2,644	128,290	+54	4,897,986	+2,055	31,621	342	97,943	2,484	27,891,010	540,092	51,641,190	
13	Italy	4,968,341	+13,764	133,486	+71	4,668,257	+6,404	166,598	588	82,343	2,212	116,669,093	1,933,612	60,337,397	
14	Indonesia	4,254,815	+372	143,782	+16	4,102,993	+293	8,040		15,329	518	53,126,370	191,400	277,567,698	
15	Mexico	3,872,263	+4,287	293,186	+336	3,232,062	+2,599	347,015	4,798	29,598	2,241	11,760,622	89,895	130,826,805	
16	Poland	3,434,272	+28,128	82,186	+497	2,934,027	+14,449	418,059	1,657	90,881	2,175	23,788,624	629,519	37,788,599	
17	Ukraine	3,384,404	+16,943	83,541	+628	2,852,452	+26,811	448,411	177	78,043	1,926	15,700,772	362,053	43,365,949	
18	South Africa	2,952,500	+2,465	89,771	+114	2,843,961	+4,193	18,768	546	48,920	1,487	19,318,050	320,079	60,353,996	
19	Philippines	2,829,524	+881	47,875	+193	2,763,726	+808	17,923	1,170	25,350	429	24,070,626	215,648	111,619,756	
20	Malaysia	2,608,979	+6,144	30,195	+48	2,510,029	+6,602	68,755	516	79,190	917	37,192,890	1,128,916	32,945,676	
21	Netherlands	2,534,137	+22,184	19,158	+60	2,074,508	+5,697	440,471	531	147,437	1,115	19,205,114	1,117,361	17,187,921	
