#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
	World	266,326,934	+188,913	5,274,252	+3,352	239,925,628	+223,550	21,127,054	87,032	34,167	676.6				
1	USA	49,969,856		808,763		39,523,573		9,637,520	13,781	149,713	2,423	760,636,842	2,278,920	333,770,690	
2	India	34,641,561		473,537		34,069,608	+8,834	98,416	8,944	24,756	338	648,259,067	463,258	1,399,346,585	
3	Brazil	22,143,091		615,674		21,362,553		164,864	8,318	103,128	2,867	63,776,166	297,028	214,713,983	
4	UK	10,464,389		145,605		9,220,626		1,098,158	895	153,000	2,129	366,108,215	5,352,883	68,394,590	
5	Russia	9,833,749	+32,136	282,462	+1,184	8,530,476	+28,070	1,020,811	2,300	67,343	1,934	228,500,000	1,564,814	146,023,734	
6	Turkey	8,901,117		77,830		8,436,712		386,575	1,405	103,945	909	109,449,755	1,278,130	85,632,738	
7	France	7,917,264		119,535		7,171,351		626,378	2,066	120,912	1,826	167,925,512	2,564,549	65,479,543	
8	Germany	6,201,582	+21,743	103,747	+143	5,120,100	+37,600	977,735	4,636	73,683	1,233	85,782,441	1,019,205	84,166,070	
9	Iran	6,137,821	+3,356	130,277	+77	5,930,502	+7,186	77,042	3,232	71,766	1,523	39,415,479	460,864	85,525,133	
10	Argentina	5,340,676		116,646		5,201,840		22,190	656	116,642	2,548	26,410,553	576,813	45,787,050	
11	Spain	5,202,958		88,159		4,927,391		187,408	814	111,220	1,885	66,213,858	1,415,412	46,780,614	
12	Italy	5,109,082		134,195		4,742,887		232,000	736	84,679	2,224	122,335,117	2,027,599	60,334,978	
13	Colombia	5,081,064		128,780		4,921,311		30,973	342	98,363	2,493	28,330,663	548,449	51,656,000	
14	Indonesia	4,257,815	+130	143,876	+9	4,108,297	+2,005	5,642		15,335	518	56,152,356	202,244	277,646,675	
