#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
	World	261,148,561	+279,693	5,210,515	+3,971	235,919,538	+239,316	20,018,508	82,952	33,503	668.5				
1	USA	49,056,060	+5,143	799,142	+4	38,840,683		9,416,235	12,308	146,996	2,395	748,066,598	2,241,579	333,723,050	
2	India	34,563,749		467,933		33,988,797	+10,967	107,019	8,944	24,706	334	638,247,889	456,213	1,399,013,222	
3	Brazil	22,067,630		614,000		21,282,804		170,826	8,318	102,795	2,860	63,776,166	297,080	214,676,885	
4	UK	10,070,841		144,593		8,912,424		1,013,824	925	147,265	2,114	358,682,719	5,244,985	68,385,839	
5	Russia	9,536,825	+33,946	271,531	+1,239	8,237,465	+36,494	1,027,829	2,300	65,311	1,860	223,500,000	1,530,589	146,022,200	
6	Turkey	8,700,641		76,041		8,233,500		391,100	1,405	101,631	888	106,254,025	1,241,134	85,610,434	
7	France	7,551,182		118,837		7,090,100		342,245	1,563	115,327	1,815	162,981,031	2,489,172	65,476,002	
8	Iran	6,105,101	+3,045	129,549	+87	5,853,066	+11,196	122,486	3,356	71,406	1,515	38,439,240	449,589	85,498,697	
9	Germany	5,724,530	+29,324	101,267	+97	4,803,100	+27,800	820,163	4,202	68,020	1,203	83,816,414	995,923	84,159,500	
10	Argentina	5,324,039		116,505		5,188,158		19,376	590	116,304	2,545	26,078,053	569,678	45,776,861	
11	Spain	5,131,012		87,955		4,914,286		128,771	597	109,683	1,880	66,213,858	1,415,426	46,780,170	
12	Colombia	5,060,557		128,343		4,900,602		31,612	342	97,992	2,485	27,944,138	541,106	51,642,671	
13	Italy	4,982,022		133,537		4,675,867		172,618	606	82,570	2,213	117,226,273	1,942,854	60,337,156	
14	Indonesia	4,255,672	+404	143,807	+11	4,103,639	+260	8,226		15,332	518	53,681,387	193,394	277,575,595	
15	Mexico	3,879,836	+3,445	293,614	+165	3,236,518	+2,158	349,704	4,798	29,655	2,244	11,808,599	90,259	130,830,504	
16	Poland	3,487,254	+26,182	82,986	+378	2,978,108	+22,630	426,160	1,752	92,284	2,196	24,112,413	638,089	37,788,486	
17	Ukraine	3,414,540	+14,200	84,717	+568	2,899,967	+22,946	429,856	177	78,739	1,954	15,793,678	364,201	43,365,235	
18	South Africa	2,955,328		89,783		2,845,607		19,938	546	48,965	1,488	19,348,954	320,580	60,356,039	
19	Philippines	2,831,177	+899	48,205	+188	2,765,920	+1,667	17,052	1,170	25,364	432	24,070,626	215,641	111,623,741	
20	Malaysia	2,614,480		30,240		2,516,693		67,547	519	79,355	918	37,333,750	1,133,152	32,946,809	
21	Netherlands	2,577,446	+22,031	19,272	+55	2,089,332	+7,624	468,842	540	149,956	1,121	19,205,114	1,117,354	17,188,024	
22	Peru	2,229,741		200,987		N/A	N/A	N/A	929	66,332	5,979	20,109,465	598,228	33,615,073	
23	Czechia	2,110,274	+20,315	32,744	+43	1,809,799	+448	267,731	924	196,545	3,050	43,387,814	4,041,025	10,736,835	
24	Thailand	2,100,959	+6,073	20,675	+32	2,000,502	+6,538	79,782	1,595	29,994	295	14,913,135	212,906	70,045,519	
25	Iraq	2,079,084	+563	23,772	+7	2,040,978	+1,366	14,334	114	50,116	573	16,287,958	392,621	41,485,200	
26	Canada	1,782,171		29,618		1,727,526		25,027	480	46,647	775	48,485,587	1,269,063	38,205,830	
27	Romania	1,775,572	+1,727	56,169	+161	1,675,184	+5,083	44,219	1,265	93,168	2,947	15,954,011	837,143	19,057,685	
28	Chile	1,757,077	+2,634	38,282	+37	1,650,209	+2,109	68,586	674	90,823	1,979	25,412,845	1,313,588	19,346,129	
29	Japan	1,726,944	+121	18,357	+4	1,707,625	+206	962	50	13,713	146	27,752,215	220,372	125,933,480	
30	Belgium	1,701,633	+21,772	26,840	+47	1,307,154	+5,695	367,639	669	145,934	2,302	24,287,332	2,082,904	11,660,324	
31	Bangladesh	1,575,579	+155	27,975	+2	1,540,018	+188	7,586	1,362	9,435	168	10,832,247	64,868	166,988,125	
32	Israel	1,341,833	+292	8,182		1,327,046		6,605	128	143,881	877	31,188,024	3,344,202	9,326,000	
33	Pakistan	1,283,886	+411	28,704	+7	1,241,589	+300	13,593	935	5,659	127	21,876,689	96,418	226,895,018	
34	Serbia	1,248,719	+2,211	11,537	+53	1,180,992	+5,052	56,190	212	143,729	1,328	6,773,079	779,589	8,688,012	
35	Sweden	1,198,848		15,113		1,155,281		28,454	32	117,678	1,483	13,586,095	1,333,601	10,187,523	
36	Vietnam	1,197,404	+16,067	24,692	+148	956,924	+1,668	215,788	5,383	12,148	251	67,526,948	685,096	98,565,730	
37	Portugal	1,136,446		18,393		1,067,173		50,880	100	111,910	1,811	20,844,492	2,052,631	10,155,014	
38	Austria	1,132,805	+11,671	12,349	+65	968,185	+11,697	152,271	608	124,780	1,360	109,556,932	12,067,837	9,078,423	
39	Hungary	1,068,888		33,866		862,534		172,488	695	111,042	3,518	8,298,820	862,130	9,625,952	
40	Switzerland	982,290		11,486		854,844		115,960	179	112,348	1,314	12,159,978	1,390,774	8,743,318	
41	Kazakhstan	969,245	+905	12,651	+16	933,107	+1,311	23,487	528	50,769	663	11,575,012	606,298	19,091,305	
42	Cuba	962,067	+183	8,300	+1	952,739	+231	1,028	30	85,011	733	11,045,585	976,024	11,316,922	
43	Morocco	949,648	+116	14,774	+1	931,883	+171	2,991	347	25,308	394	10,403,984	277,267	37,523,380	
44	Jordan	939,293	+2,674	11,515	+29	878,156	+1,207	49,622	1,037	90,796	1,113	12,015,838	1,161,507	10,345,045	
45	Greece	920,683	+5,859	17,861	+82	821,280	+7,099	81,542	641	88,941	1,725	35,377,491	3,417,571	10,351,648	
46	Georgia	835,306	+4,058	11,871	+61	774,458	+2,157	48,977		209,959	2,984	11,449,856	2,877,984	3,978,429	
47	Nepal	820,724	+197	11,521	+3	802,047	+325	7,156		27,476	386	4,604,396	154,146	29,870,355	
48	UAE	741,858	+68	2,145		736,699	+98	3,014		73,760	213	100,534,447	9,995,686	10,057,784	
49	Tunisia	716,988		25,362		690,571		1,055	58	59,790	2,115	3,161,320	263,622	11,991,870	
50	Bulgaria	687,410		27,996		554,296		105,118	779	99,986	4,072	6,473,905	941,649	6,875,074	
51	Lebanon	665,253		8,693		630,639		25,921	186	98,083	1,282	4,795,578	707,044	6,782,577	
52	Slovakia	660,386	+9,152	14,228	+51	540,119	+7,174	106,039	545	120,876	2,604	4,528,103	828,814	5,463,350	
53	Belarus	650,168	+1,696	5,041	+15	636,653	+2,000	8,474		68,838	534	10,342,898	1,095,070	9,444,965	
54	Guatemala	617,037		15,898		599,319		1,820	5	33,572	865	3,099,474	168,638	18,379,427	
55	Croatia	599,977	+5,502	10,695	+51	554,729	+5,629	34,553	325	147,423	2,628	3,411,379	838,226	4,069,758	
56	Azerbaijan	584,121	+1,617	7,789	+22	549,333	+1,979	26,999		56,892	759	5,509,701	536,630	10,267,227	
57	Costa Rica	566,560		7,287		543,875		15,398	92	109,813	1,412	2,715,029	526,240	5,159,295	
58	Sri Lanka	561,578	+519	14,278	+20	529,240	+434	18,060		26,072	663	5,626,024	261,200	21,539,102	
59	Ireland	556,319	+4,791	5,652		434,095	+2,608	116,572	121	110,930	1,127	8,762,233	1,747,187	5,015,052	
60	Saudi Arabia	549,671	+29	8,832	+2	538,824	+40	2,015	44	15,452	248	31,078,369	873,650	35,573,004	
61	Bolivia	535,115	+1,359	19,137	+16	490,521	+689	25,457	220	44,983	1,609	2,578,215	216,729	11,896,017	
62	Ecuador	524,432		33,128		443,880		47,424	759	29,106	1,839	1,991,800	110,544	18,018,185	
63	Myanmar	521,211	+505	19,079	+12	495,408	+660	6,724		9,490	347	5,523,097	100,564	54,920,985	
64	Panama	477,096		7,360		467,072		2,664	20	108,188	1,669	4,217,639	956,410	4,409,867	
65	Denmark	474,637	+3,744	2,863	+13	403,118		68,656	50	81,542	492	92,864,721	15,953,958	5,820,795	
66	Lithuania	466,608	+2,017	6,672	+21	431,907	+3,583	28,029	131	174,825	2,500	6,100,515	2,285,698	2,668,994	
67	Paraguay	462,855		16,459		445,486		910	40	63,796	2,269	1,938,929	267,245	7,255,256	
68	S. Korea	436,968	+4,067	3,492	+52	390,141	+6,590	43,335	634	8,513	68	15,804,065	307,885	51,331,048	
69	Venezuela	429,360		5,124		416,233		8,003	681	15,159	181	3,359,014	118,597	28,322,950	
70	Palestine	429,333	+125	4,524	+3	422,114	+149	2,695	38	81,509	859	2,720,854	516,556	5,267,301	
71	Slovenia	415,898	+2,224	5,165	+23	370,639	+3,644	40,094	196	200,015	2,484	1,924,394	925,484	2,079,339	
72	Kuwait	413,245		2,465		410,546		234		94,802	565	5,268,253	1,208,589	4,359,010	
73	Dominican Republic	406,021		4,202		397,873		3,946	195	36,910	382	2,438,353	221,662	11,000,317	
74	Uruguay	398,890		6,124		390,719		2,047	11	114,275	1,754	4,074,340	1,167,230	3,490,606	
75	Mongolia	380,616	+486	1,985	+4	313,256		65,375	192	113,542	592	4,030,048	1,202,208	3,352,204	
76	Honduras	377,888	+29	10,403		120,308	+4	247,177	59	37,322	1,027	1,121,382	110,752	10,125,165	
77	Ethiopia	371,058		6,727		348,088		16,243	229	3,120	57	3,850,490	32,372	118,946,237	
78	Libya	370,787		5,430		339,003		26,354		52,953	775	1,895,515	270,705	7,002,149	
79	Moldova	361,828		9,022		345,226		7,580	205	89,989	2,244	2,191,937	545,147	4,020,815	
80	Egypt	354,836		20,237		294,903		39,696	90	3,378	193	3,693,367	35,163	105,035,809	
81	Armenia	337,522	+517	7,485	+26	314,020	+1,403	16,017		113,605	2,519	2,348,877	790,599	2,971,008	
82	Oman	304,519		4,113		299,951		455	7	57,584	778	25,000,000	4,727,463	5,288,249	
