#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	48999737	27187	798551	306	38799986	12292	9401200	12259	146830	2393	747324581	2239391	333717757
2	India	34555431	10549	467468	488	33967962	10264	120001	8944	24701	334	635924763	454564	1398976181
3	Brazil	22055608	12191	613697	281	21275209	10496	166702	8318	102741	2859	63776166	297086	214672763
4	UK	10021497	47240	144433	147	8874965	40777	1002099	928	146546	2112	357537501	5228313	68384867
5	Russia	9468189	33796	269057	1238	8164826	38450	1034306	2300	64841	1843	222300000	1522373	146022030
6	Turkey	8676639	24467	75840	222	8208159	29639	392640	1405	101353	886	105892796	1236950	85607956
7	France	7516746	33464	118777	43	7080598	8917	317371	1499	114802	1814	161863693	2472122	65475608
8	Iran	6097672	4850	129376	96	5830653	11628	137643	3368	71321	1513	38219247	447031	85495760
9	Germany	5623047	76132	100796	315	4744400	31500	777851	4070	66815	1198	81975529	974058	84158769
10	Argentina	5322127	2260	116480	22	5186639	1666	19008	604	116265	2545	26029617	568634	45775729
11	Spain	5121100	9258	87931	27	4912818	1457	120351	571	109472	1880	66213858	1415427	46780120
12	Colombia	5057897	2644	128290	54	4897986	2055	31621	342	97943	2484	27891010	540092	51641190
13	Italy	4968341	13764	133486	71	4668257	6404	166598	588	82343	2212	116669093	1933612	60337397
14	Indonesia	4254815	372	143782	16	4102993	293	8040		15329	518	53126370	191400	277567698
15	Mexico	3872263	4287	293186	336	3232062	2599	347015	4798	29598	2241	11760622	89895	130826805
16	Poland	3434272	28128	82186	497	2934027	14449	418059	1657	90881	2175	23788624	629519	37788599
17	Ukraine	3384404	16943	83541	628	2852452	26811	448411	177	78043	1926	15700772	362053	43365949
18	South Africa	2952500	2465	89771	114	2843961	4193	18768	546	48920	1487	19318050	320079	60353996
19	Philippines	2829524	881	47875	193	2763726	808	17923	1170	25350	429	24070626	215648	111619756
20	Malaysia	2608979	6144	30195	48	2510029	6602	68755	516	79190	917	37192890	1128916	32945676
21	Netherlands	2534137	22184	19158	60	2074508	5697	440471	531	147437	1115	19205114	1117361	17187921
22	Peru	2229741	1529	200987	26				929	66334	5979	20109465	598250	33613818
23	Thailand	2088327	6335	20579	37	1987089	7218	80659	1595	29814	294	14913135	212908	70045042
24	Iraq	2077665	743	23748	23	2038189	1182	15728	129	50085	572	16254124	391829	41482728
25	Czechia	2062140	18016	32595	91	1793434	452	236111	848	192063	3036	43086598	4012991	10736780
26	Canada	1777814	2868	29600	20	1725101	3674	23113	480	46534	775	48388185	1266543	38204927
27	Romania	1771887	2104	55829	177	1663637	4704	52421	1341	92973	2929	15874280	832944	19058033
28	Chile	1751769	2670	38218	43	1646433	1143	67118	669	90551	1976	25262226	1305833	19345681
29	Japan	1726704	76	18352	1	1707291	109	1061	58	13711	146	27637078	219456	125934533
30	Belgium	1659025	23350	26743	38	1295650	4707	336632	655	142281	2294	24005887	2058791	11660187
31	Bangladesh	1575185	237	27970	9	1539553	360	7662	1377	9433	168	10801869	64688	166983646
32	Israel	1341305		8182	4	1327046		6077	128	143824	877	31188024	3344202	9326000
33	Pakistan	1283223	363	28690	13	1240995	1000	13538	1002	5656	126	21796915	96071	226883280
34	Serbia	1244169	2677	11433	48	1171640	3838	61096	210	143204	1316	6743631	776191	8688108
35	Sweden	1196688		15110		1154394	1263	27184	24	117468	1483	13586095	1333624	10187351
36	Vietnam	1168228	12450	24407	164	942888	5627	200933	5475	11853	248	67004193	679808	98563340
37	Portugal	1133241	3150	18385	15	1065331	1642	49525	103	111593	1810	20844492	2052614	10155095
38	Austria	1108889	13592	12233	53	944173	12999	152483	619	122147	1348	108603828	11963036	9078283
39	Hungary	1057017	12165	33704	185	857451	1121	165862	680	109808	3501	8249524	857003	9626018
40	Switzerland	974317	4121	11472	11	853154	2020	109691	172	111438	1312	12159978	1390801	8743145
41	Kazakhstan	967369	946	12622	19	930512	1392	24235	528	50672	661	11575012	606317	19090692
42	Cuba	961698	240	8299		952206	262	1193	36	84979	733	10979501	970183	11316941
43	Morocco	949378	115	14770		931548	115	3060	347	25302	394	10379159	276614	37522185
44	Jordan	932539	4283	11459	30	874583	2566	46497	993	90146	1108	11939884	1154195	10344769
45	Greece	908222	6561	17693	81	810420	6037	80109	621	87736	1709	34473761	3330223	10351786
46	Georgia	826714	4331	11736	57	768559	4804	46419		207798	2950	11344660	2851528	3978450
47	Nepal	820285	281	11516	3	801420	298	7349		27463	386	4591660	153727	29868922
48	UAE	741720	77	2145		736511	88	3064		73748	213	99976538	9940537	10057458
49	Tunisia	716861	159	25357	1	690463	127	1041	58	59781	2115	3157961	263349	11991532
50	Bulgaria	684922	2370	27891	113	551853	3008	105178	797	99622	4057	6433278	935720	6875216
51	Lebanon	663779	1510	8685	9	629896	2384	25198	186	97864	1280	4795578	707035	6782660
52	Belarus	646743	1674	5010	15	632470	2252	9263		68475	530	10295659	1090068	9444973
53	Slovakia	641903	10165	14107	51	526153	6475	101643	550	117493	2582	4474963	819089	5463343
54	Guatemala	616554	829	15885	15	598773	883	1896	5	33548	864	3091052	168188	18378520
55	Croatia	589015	6246	10569	64	543493	4792	34953	316	144727	2597	3397608	834829	4069826
56	Azerbaijan	580507	1880	7736	27	545035	1835	27736		56541	753	5485509	534287	10266978
57	Costa Rica	566429	133	7284	4	543602	2024	15543	92	109791	1412	2715029	526253	5159168
58	Sri Lanka	560345	740	14232	27	528400	471	17713		26016	661	5606000	260274	21538857
59	Saudi Arabia	549618	28	8829	1	538740	38	2049	48	15451	248	31078369	873687	35571521
60	Ireland	546909	4763	5652		429857	2145	111400	126	109057	1127	8762233	1747239	5014902
61	Bolivia	532631	1203	19104	8	489371	645	24156	220	44776	1606	2569451	216000	11895582
62	Ecuador	524432		33128		443880		47424	759	29107	1839	1991800	110548	18017452
63	Myanmar	520213	482	19058	9	494107	708	7048		9472	347	5475051	99691	54919990
64	Panama	476813	202	7360	2	466850	138	2603	20	108129	1669	4210454	954820	4409682
65	Denmark	466817	4390	2841	12	403118		60858	48	80199	488	92086181	15820356	5820740
66	Paraguay	462533	80	16366	1	445486	40	681	40	63754	2256	1938929	267254	7255017
67	Lithuania	462431	1853	6627	19	426745	2389	29059	131	173254	2483	6054373	2268323	2669097
68	Palestine	429123	266	4521	1	421829	160	2773	38	81474	858	2714239	515332	5266976
69	S. Korea	429002	3937	3401	38	381851	1474	43750	612	8358	66	15804065	307886	51330928
