#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	49301070		801326		39032255		9467489	12650	147723	2401	752495440	2254743	333738930
2	India	34587822		468980		34018299	10116	100543	8944	24721	335	641303848	458361	1399124343
3	Brazil	22084749		614428		21304115		166206	8318	102868	2862	63776166	297063	214689251
4	UK	10189059		144810		9025773		1018476	925	148987	2117	361428446	5284910	68388756
5	Russia	9604233		273964		8295811		1034458	2300	65772	1876	224500000	1537432	146022711
6	Turkey	8770372		76635		8301883		391854	1405	102436	895	107321500	1253494	85617869
7	France	7628327		119016		7113141		396170	1563	116504	1818	162981031	2489127	65477182
8	Iran	6113192		129711		5873441		110040	3338	71493	1517	38439240	449542	85507509
9	Germany	5825543		101652		4893300	40500	830591	4459	69218	1208	83816414	995897	84161690
10	Argentina	5328416		116554		5192404		19458	614	116391	2546	26173874	571728	45780258
11	Spain	5153923		88008		4920879		145036	673	110173	1881	66213858	1415421	46780318
12	Colombia	5067348		128473		4907484		31391	342	98115	2488	28064873	543397	51647114
13	Italy	5015790		133739		4692408		189643	669	83130	2217	118611763	1965840	60336430
14	Indonesia	4256112		143819		4104333		7960		15332	518	54160249	195102	277599289
15	Mexico	3884566	724	293950	53	3242947	2426	347669	4798	29689	2247	11838624	90481	130841601
16	Poland	3520961		83055		3022771		415135	1820	93176	2198	24289149	642772	37788148
17	Ukraine	3427827		85414		2920714		421699	177	79049	1970	15832613	365117	43363093
18	South Africa	2963679		89822		2849439		24418	546	49098	1488	19434381	321963	60362167
19	Philippines	2832375		48501		2767585		16289	1023	25372	434	24146328	216296	111635697
20	Malaysia	2627903		30370		2532036		65497	507	79754	922	37643236	1142428	32950208
21	Netherlands	2621022		19349		2104531		497142	575	152488	1126	19205114	1117334	17188334
22	Peru	2234970		201144					962	66480	5983	20273392	603037	33618839
23	Czechia	2132380		32929		1835044		264407	947	198601	3067	43539197	4055063	10736997
24	Thailand	2115872	4306	20769	37	2019428	6407	75675	1369	30206	297	14913135	212902	70046951
25	Iraq	2080448		23807		2043666		12975	103	50140	574	16320352	393331	41492616
26	Canada	1790142		29670		1734556		25916	480	46852	777	48740327	1275640	38208540
27	Romania	1778045		56382		1683204		38459	1203	93303	2959	15990674	839113	19056639
28	Chile	1761365		38343		1654534		68488	680	91039	1982	25551531	1320665	19347472
29	Belgium	1749469	14907	26966	44	1333810	8055	388693	722	150031	2313	24619234	2111293	11660737
30	Japan	1727221	78	18359	1	1708006	104	856	41	13716	146	27874331	221347	125930320
31	Bangladesh	1576011		27980		1540597		7434	1382	9437	168	10868949	65083	167001564
32	Israel	1342976		8195		1329263		5518	117	144003	879	31188024	3344202	9326000
33	Pakistan	1284840	475	28728	10	1242236	327	13876	905	5662	127	21985775	96883	226930233
34	Serbia	1252573		11637		1189492		51444	203	144177	1339	6797349	782408	8687725
35	Vietnam	1224110		25055		974724		224331	6413	12418	254	68108275	690943	98572901
36	Sweden	1198848		15113		1158200		25535	41	117672	1483	13708481	1345547	10188038
37	Austria	1151809		12425		994091		145293	619	126867	1369	110110679	12128272	9078843
38	Portugal	1144342		18430		1071544		54368	111	112690	1815	21165845	2084325	10154772
39	Hungary	1096718		34326		877251		185141	538	113936	3566	8423435	875094	9625751
40	Switzerland	1001549		11518		860263		129768	182	114543	1317	12351333	1412576	8743836
41	Kazakhstan	971541	654	12696	18	935950	1137	22895	528	50884	665	11575012	606239	19093146
42	Cuba	962350		8300		953130		920	25	85037	733	11083208	979353	11316865
43	Morocco	949785		14775		932133		2877	347	25309	394	10427240	277860	37526965
44	Jordan	948966		11584		883980		53402	1045	91724	1120	12116328	1171126	10345875
45	Greece	931183		18067		835882		77234	657	89959	1745	35721156	3450909	10351232
46	Georgia	840593		11974		783987		44632		211291	3010	11506875	2892361	3978367
47	Nepal	821121		11524		802653		6944		27486	386	4618231	154587	29874656
48	UAE	741976		2146		736862		2968		73764	213	101032600	10044237	10058763
49	Tunisia	717309		25365		690903		1041	58	59811	2115	3170783	264389	11992883
50	Bulgaria	692376		28325		558928		105123	723	100714	4120	6549700	952732	6874648
51	Slovakia	673015		14341		549104		109570	549	123187	2625	4563162	835228	5463371
52	Lebanon	668605		8716		632623		27266	186	98580	1285	4795578	707070	6782328
53	Belarus	653323		5067		640132		8124		69172	536	10381143	1099122	9444939
54	Guatemala	617621		15933		600146		1542	5	33599	867	3111321	169258	18382147
