#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	49099590		799414		38880081		9420095	12539	147122	2395	748524599	2242880	333733637
2	India	34580832		468790		34008183	9905	103859	8944	24717	335	640291325	457649	1399087302
3	Brazil	22080906		614314		21293314		173278	8318	102853	2861	63776166	297068	214685129
4	UK	10146915		144775		8985054		1017086	925	148373	2117	358682719	5244836	68387784
5	Russia	9604233	33860	273964	1209	8295811	27700	1034458	2300	65772	1876	224500000	1537434	146022541
6	Turkey	8746055		76446		8278610		390999	1405	102155	893	106962684	1249339	85615390
7	France	7620048		118894		7100787		400367	1563	116378	1816	162981031	2489142	65476789
8	Iran	6113192	4310	129711	82	5873441	10193	110040	3338	71495	1517	38439240	449558	85504572
9	Germany	5795140	12179	101467	56	4852800	29100	840873	4202	68858	1206	83816414	995906	84160960
10	Argentina	5326448		116529		5191054		18865	600	116351	2545	26132048	570829	45779126
11	Spain	5131012		87955		4914286		128771	597	109683	1880	66213858	1415423	46780268
12	Colombia	5065373		128437		4905431		31505	342	98079	2487	28017929	542503	51645633
13	Italy	5007818		133674		4687701		186443	638	82998	2215	118335763	1961258	60336672
14	Indonesia	4256112	176	143819	11	4104333	419	7960		15332	518	54160249	195108	277591391
15	Mexico	3883842	1050	293897	38	3240521	1963	349424	4798	29684	2246	11834145	90449	130837902
16	Poland	3520961	13115	83055	18	3022771	22459	415135	1820	93176	2198	24289149	642770	37788261
17	Ukraine	3427827	5804	85414	297	2920714	10477	421699	177	79048	1970	15832613	365111	43363807
18	South Africa	2961406		89797		2847771		23838	546	49062	1488	19413079	321621	60360124
19	Philippines	2832375	665	48501	141	2767585	993	16289	1023	25372	434	24146328	216303	111631712
20	Malaysia	2623816		30309		2527052		66455	511	79632	920	37558312	1139890	32949075
21	Netherlands	2621022	21443	19349	32	2104563	7897	497110	575	152489	1126	19205114	1117341	17188231
22	Peru	2234075		201108					956	66456	5982	20249074	602336	33617584
23	Czechia	2132380	9292	32929	51	1835044	115	264407	947	198602	3067	43539197	4055083	10736943
24	Thailand	2111566	4753	20732	27	2013021	6165	77813	1369	30145	296	14913135	212903	70046474
25	Iraq	2080448	826	23807	14	2043666	1367	12975	103	50143	574	16320352	393355	41490144
26	Canada	1786246		29633		1728979		27634	480	46751	776	48485587	1269003	38207636
27	Romania	1778045	1096	56382	92	1683204	3262	38459	1203	93301	2959	15990674	839098	19056987
28	Chile	1761365	1960	38343	30	1654564	2111	68458	680	91041	1982	25551531	1320696	19347024
29	Japan	1727143	73	18358		1707902	144	883	43	13715	146	27821836	220929	125931373
30	Belgium	1701633		26840		1307154		367639	669	145930	2302	24287332	2082855	11660599
31	Bangladesh	1576011	227	27980	2	1540597	280	7434	1382	9437	168	10868949	65085	166997084
32	Israel	1342210		8189		1327046		6975	125	143921	878	31188024	3344202	9326000
33	Pakistan	1284365	176	28709		1241761		13895	946	5660	127	21913668	96571	226918495
34	Serbia	1252573	2180	11637	49	1189492	3947	51444	203	144176	1339	6797349	782400	8687821
35	Vietnam	1224110	13770	25055	173	974724	16088	224331	6413	12419	254	68108275	690960	98570511
36	Sweden	1198848		15113		1158200	862	25535	41	117674	1483	13708481	1345569	10187866
37	Austria	1151809	8526	12425	37	994091	11799	145293	619	126869	1369	110110679	12128459	9078703
38	Portugal	1144342	1635	18430	13	1071544	971	54368	111	112689	1815	21165845	2084308	10154853
39	Hungary	1096718	27830	34326	460	877251	14717	185141	538	113935	3566	8423435	875088	9625818
40	Switzerland	1001549	2508	11505	3	860263	1828	129781	182	114546	1316	12351333	1412604	8743663
41	Kazakhstan	970887	795	12678	11	934813	827	23396	528	50852	664	11575012	606259	19092532
42	Cuba	962220		8300		952938		982	30	85025	733	11066303	977858	11316884
43	Morocco	949732		14774		931985		2973	347	25309	394	10416645	277586	37525770
44	Jordan	948966	5661	11584	33	883980	3408	53402	1045	91727	1120	12116328	1171158	10345598
45	Greece	924506		17959		829327		77220	647	89312	1735	35624841	3441558	10351371
46	Georgia	840593	1954	11974	47	783987	4477	44632		211290	3010	11506875	2892347	3978387
47	Nepal	821121	243	11524	1	802653	264	6944		27487	386	4618231	154594	29873223
48	UAE	741976	58	2146		736862	84	2968		73767	213	101032600	10044563	10058437
49	Tunisia	717258		25363		690791		1104	58	59809	2115	3169379	264279	11992545
50	Bulgaria	689356		28101		555963		105292	756	100273	4088	6513142	947395	6874790
51	Slovakia	673015	5054	14341	67	549171	3299	109503	549	123187	2625	4563162	835229	5463364
52	Lebanon	668087		8709		631294		28084	186	98503	1284	4795578	707061	6782411
53	Belarus	653323	1484	5067	13	640132	1288	8124		69172	536	10381143	1099121	9444948
54	Guatemala	617610		15928		600034		1648	5	33600	867	3110368	169214	18381240
55	Croatia	604347	1031	10826	67	563630	5399	29891	308	148502	2660	3437227	844606	4069620
56	Azerbaijan	586640	857	7833	26	552815	1091	25992		57134	763	5526664	538256	10267726
57	Costa Rica	566560		7287		543875		15398	92	109808	1412	2715029	526214	5159549
58	Sri Lanka	562520		14305		529662		18553		26116	664	5640979	261889	21539591
59	Ireland	560054		5652		436646		117756	117	111668	1127	8762233	1747082	5015353
60	Saudi Arabia	549720	25	8834	1	538885	29	2001	44	15452	248	31078369	873578	35575968
61	Bolivia	536472	715	19161	7	491946	759	25365	220	45093	1611	2586370	217399	11896887
62	Ecuador	524432		33128		443880		47424	759	29103	1838	1991800	110535	18019649
63	Myanmar	521561		19088		496081		6392		9496	348	5541974	100904	54922975
64	Denmark	483253	4326	2883	11	403118		77252	60	83020	495	93454969	16055056	5820906
65	Panama	477514		7362		467459		2693	20	108274	1669	4229187	958947	4410239
66	Lithuania	468494	584	6719	23	432559	374	29216	121	175546	2518	6118609	2292655	2668788
67	Paraguay	462956		16463		445657		836	41	63806	2269	1943738	267890	7255735
68	S. Korea	444200	3304	3580	32	393617	1306	47003	629	8654	70	15804065	307884	51331289
69	Venezuela	430696		5138		417831		7727	681	15207	181	3359014	118599	28322512
70	Palestine	429697		4528		422442		2727	38	81568	860	2720854	516492	5267950
71	Slovenia	418410	1034	5206	18	374785	1801	38419	193	201223	2504	1930022	928190	2079340
72	Kuwait	413266		2465		410575		226		94800	565	5268253	1208494	4359355
73	Dominican Republic	406803		4204		399438		3161	199	36979	382	2449337	222649	11000911
74	Uruguay	399348		6129		391083		2136	12	114404	1756	4090729	1171903	3490672
75	Mongolia	381135	190	1995	5	313256		65884	192	113687	595	4030048	1202105	3352493
76	Honduras	377888		10403		120308		247177	59	37318	1027	1121382	110743	10126026
77	Libya	372209	638	5448	10	344087	2364	22674		53153	778	1904933	272030	7002659
78	Ethiopia	371262		6740		348799		15723	233	3121	57	3860277	32450	118961845
79	Moldova	362433		9069		346629		6735	205	90140	2256	2196983	546409	4020764
80	Egypt	356718		20347		296167		40204	90	3396	194	3693367	35159	105046372
81	Armenia	338120	189	7535	21	316198	1072	14387		113805	2536	2360218	794409	2971038
82	Oman	304519		4113		299951		455	7	57576	778	25000000	4726826	5288961
83	Bahrain	277585		1394		275910		281	2	155552	781	7367419	4128523	1784517
84	Bosnia and Herzegovina	272798		12456		192218		68124		83884	3830	1385921	426164	3252085
85	Singapore	262383		701		248323		13359	55	44358	119	21098774	3566954	5915068
86	Norway	260921		1050		88952		170919	62	47606	192	8537200	1557635	5480875
87	Kenya	254951		5332		248131		1488	20	4599	96	2827102	50999	55434865
88	Latvia	252728	315	4155	9	236997	419	11576	168	136107	2238	5323266	2866858	1856829
89	Qatar	243290	158	611		240666	139	2013	15	86648	218	2987747	1064086	2807805
90	Estonia	221860	311	1791		201315	468	18754	38	167090	1349	2327340	1752791	1327791
91	North Macedonia	215009		7547		199064		8398		103208	3623	1467751	704547	2083254
92	Nigeria	214092		2976		207254		3862	11	1004	14	3479682	16313	213313133
93	Algeria	210152		6058		144160		59934	20	4674	135	230861	5134	44963743
94	Zambia	210150	7	3667		206392	6	91	8	10999	192	2716971	142201	19106551
95	Australia	209145	1163	1997	3	191722		15426	75	8070	77	47748241	1842427	25915946
96	Albania	199555		3089		189044		7422	23	69450	1075	1391072	484125	2873374
97	Botswana	194909		2416		191961		532	1	80596	999	1859485	768912	2418332
98	Uzbekistan	193065	234	1399	2	189664	216	2002	23	5653	41	1377915	40348	34151101
99	Finland	185622	3338	1335	26	46000		138287	51	33428	240	7896869	1422133	5552834
100	Kyrgyzstan	183285	37	2743	2	178112	64	2430	131	27456	411	1830395	274197	6675479
101	Afghanistan	157260	32	7308		140530	53	9422	1124	3916	182	791314	19704	40159632
102	Montenegro	156873		2285		151851		2737	60	249727	3638	903392	1438115	628178
103	Mozambique	151524		1940		149485		99	8	4665	60	976023	30046	32484425
104	Zimbabwe	133991		4705		128655		631	12	8834	310	1585579	104541	15167085
105	Cyprus	131462		591		124370		6501	37	107780	485	9477138	7769904	1219724
106	Ghana	130920		1209		129042		669	5	4093	38	1933408	60449	31984067
107	Namibia	129180		3573		125483		124	2	49578	1371	786776	301960	2605566
108	Uganda	127485	34	3252		97847		26386	115	2669	68	1953083	40887	47767518
109	Cambodia	120112	25	2935	4	116488	22	689		7047	172	2715508	159321	17044266
110	El Salvador	119803		3771		102982		13050	336	18340	577	1440742	220558	6532256
111	Cameroon	106794		1791		102716		2287	152	3887	65	1751774	63762	27473627
112	Rwanda	100330		1342		45521		53467	1	7486	100	3460087	258157	13403014
113	China	98672	41	4636		93249	39	787	8	69	3	160000000	111163	1439323776
114	Maldives	91464		250	2	89434		1780	23	165120	451	1743453	3147465	553923
115	Jamaica	91169		2388		62444		26337	9	30600	802	670794	225147	2979354
116	Luxembourg	88108		866		83258		3984	10	137606	1353	3675228	5739925	640292
117	Senegal	73987	2	1885		72088	1	14	2	4261	109	873259	50293	17363327
118	Laos	72447	929	166	7	7339		64942		9759	22	782029	105338	7423978
119	Trinidad and Tobago	70136		2115		57544		10477	22	49888	1504	443512	315472	1405866
120	Angola	65144		1733		63197		214	3	1899	51	1179270	34380	34300597
121	Malawi	61897		2305		58765		827	67	3122	116	440594	22225	19823915
122	Ivory Coast	61708		704		60702		302		2261	26	1131105	41439	27295402
123	Réunion	59048		381		56040		2627	18	65297	421	1347378	1489966	904301
124	DRC	58115		1104		50930		6081		622	12	306299	3280	93381747
125	Guadeloupe	55147		746		2250		52151	23	137792	1864	551264	1377402	400220
126	Fiji	52506		696		51037	24	773		57980	769	460369	508367	905584
127	Suriname	50760	19	1166	2	29569	2	20025	10	85451	1963	158615	267017	594025
128	Syria	47965		2739		28981		16245		2650	151	103566	5723	18097600
129	Eswatini	46538		1248		45241		49	10	39538	1060	387508	329217	1177058
130	French Guiana	45864		326		11254		34284	11	148163	1053	447549	1445805	309550
131	French Polynesia	45609		636					7	161053	2246			283193
132	Martinique	44318		700		104		43514	1	118227	1867	416247	1110421	374855
133	Madagascar	44072		967		41322		1783	3	1536	34	249510	8697	28690413
134	Sudan	42056		3114		32905		6037		929	69	238579	5268	45286992
135	Malta	39329	95	468		37332	39	1529	2	88739	1056	1211456	2733442	443198
136	Mauritania	39178		831		37380		967	14	8126	172	500581	103829	4821224
137	Cabo Verde	38362		349		37946		67	23	67960	618	211166	374089	564480
138	Guyana	37773		987		35265		1521	17	47700	1246	389445	491790	791893
139	Gabon	37298		279		32019		5000	8	16220	121	1396270	607210	2299483
140	Papua New Guinea	35029		545		33828		656	7	3814	59	249149	27125	9185155
141	Guinea	30770	2	387		29725		658	49	2257	28	569940	41807	13632802
142	Belize	30165		570		28421		1174	10	73975	1398	345261	846703	407771
143	Tanzania	26261		730					7	423	12			62122018
144	Togo	26241		243		25900		98		3069	28	576999	67476	8551196
145	Barbados	25038		225		21118		3695		86977	782	434521	1509435	287870
146	Haiti	25027		723		20973		3331		2158	62	132422	11418	11597988
147	Benin	24850		161		24546		143	5	1977	13	604310	48080	12568962
148	Seychelles	23197		125		22590		482		233831	1260			99204
149	Somalia	23016		1327		12046		9643		1394	80	262138	15872	16515547
150	Bahamas	22734		671		21604		459	4	57045	1684	167558	420441	398529
151	Lesotho	21768		662		13685		7421		10049	306	257888	119054	2166139
152	Mauritius	21386	61	455		19543	118	1388		16777	357	358675	281372	1274738
153	Mayotte	20938		185		2964		17789		74233	656	176919	627243	282058
154	Burundi	20386		38		773		19575		1646	3	345742	27910	12387708
155	Timor-Leste	19822		122		19697		3		14643	90	169501	125211	1353728
156	Congo	18837		349		12421		6067		3300	61	188207	32968	5708791
157	Iceland	17770	69	35		16143	478	1592	2	51603	102	1244621	3614312	344359
158	Curaçao	17397		178		17106		113	3	105413	1079	334926	2029399	165037
159	Mali	17339		605		15128		1606		823	29	487323	23129	21069384
160	Channel Islands	17326		103		15135		2088		98378	585	1067673	6062294	176117
161	Nicaragua	17152		209		4225		12718		2547	31			6735385
162	Tajikistan	17095		124		16966		5		1738	13			9838510
163	Andorra	16712		131		15770		811	4	215809	1692	193595	2499968	77439
164	Taiwan	16596	8	848		15603	6	145		695	36	8350058	349705	23877446
165	Aruba	16324		174		15978		172	11	151987	1620	177885	1656223	107404
166	Burkina Faso	15711		281		15211		219		724	13	230176	10603	21707789
167	Brunei	15058	22	97		14451	39	510	4	33963	219	614805	1386660	443371
168	Equatorial Guinea	13579		173		13323		83	1	9252	118	242340	165122	1467638
169	Djibouti	13504		186		13291		27		13394	184	246141	244140	1008198
170	Saint Lucia	12977	7	280		12585	23	112	7	70219	1515	99923	540685	184808
171	South Sudan	12717		133		12395		189	2	1118	12	259491	22806	11378273
172	Hong Kong	12431	3	213		12133		85		1639	28	28195188	3718435	7582542
173	New Caledonia	12139	34	276		11551	33	312	14	41951	954	42756	147762	289358
174	CAR	11708		101		6859		4748	2	2366	20	60228	12173	4947777
175	New Zealand	11444	184	43		5645	10	5756	64	2288	9	4889939	977577	5002100
176	Isle of Man	11152		66		10466		620	1	130180	770	133676	1560432	85666
177	Yemen	9995	8	1949	3	6873	28	1173	23	325	63	265253	8627	30748591
178	Gambia	9989		342		9638		9	3	3977	136	121854	48510	2511954
179	Eritrea	7341	23	60		7084		197		2030	17	23693	6553	3615427
180	Gibraltar	7203	23	98		6693	61	412	3	213885	2910	414498	12308044	33677
181	Niger	6958		254		6541		163	2	274	10	186846	7346	25435214
182	Cayman Islands	6738		4		2550		4184	25	100858	60	202426	3030012	66807
183	Guinea-Bissau	6440		148		6268		24		3167	73	106886	52567	2033318
184	Sierra Leone	6401		121						780	15	160729	19589	8204871
185	Dominica	5955		38		5475		442		82436	526	108009	1495183	72238
186	Grenada	5888		200		5622		66		51988	1766	87070	768783	113257
187	Liberia	5821		287		5523		11	2	1114	55	128246	24547	5224613
188	San Marino	5790		93		5519		178	2	170139	2733	88512	2600923	34031
189	Bermuda	5730		106		5603		21	2	92488	1711	639674	10324983	61954
190	St. Vincent Grenadines	5500		74		4991		435	7	49356	664	89984	807495	111436
191	Chad	5105		175		4874		56		299	10	148082	8666	17087325
192	Sint Maarten	4575		75		4480		20	10	105025	1722	62056	1424577	43561
193	Liechtenstein	4562	55	61		4139	181	362	8	119168	1593	77368	2021002	38282
194	Comoros	4498		150		4284		64		5022	167			895621
195	Antigua and Barbuda	4141		117		4008		16	11	41799	1181	17782	179489	99070
196	Saint Martin	3949		56		1399		2494	7	99740	1414	54303	1371530	39593
197	Sao Tome and Principe	3731		56		3675		0		16591	249	14689	65320	224878
198	Monaco	3728		36		3523		169	1	94063	908	54960	1386723	39633
199	Faeroe Islands	3505		13		3077		415	7	71350	265	560000	11399723	49124
200	Turks and Caicos	3096		24		3021		51		78473	608	94789	2402580	39453
201	Caribbean Netherlands	2889		22		2632		235		108748	828	30126	1134006	26566
202	Saint Kitts and Nevis	2782		28		2728		26	1	51779	521	56538	1052300	53728
203	British Virgin Islands	2765		38					7	90614	1245	82570	2705971	30514
204	Bhutan	2640		3		2620		17		3369	4	1240776	1583517	783557
205	St. Barth	1601		6						161407	605	56491	5695231	9919
206	Anguilla	1334		3		1207		124		87815	197	51382	3382397	15191
207	Greenland	1332				1011		321	2	23406		106610	1873342	56909
