#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	48835216	86016	796319	1237	38709704	75814	9329193	12178	146342	2386	744675751	2231525	333707170
2	India	34535763	9283	466584	437	33946749	12202	122430	8944	24688	334	633489239	452847	1398902101
3	Brazil	22038731	18861	613240	398	21247982	17625	177509	8318	102666	2857	63776166	297097	214664519
4	UK	9932408	42484	144137	165	8791315	39370	996956	928	145247	2108	355369515	5196758	68382922
5	Russia	9400835	33996	266579	1243	8089694	36051	1044562	2300	64380	1826	221400000	1516213	146021689
6	Turkey	8624580	28170	75443	208	8150235	29353	398902	1405	100751	881	105165402	1228525	85602999
7	France	7450691	30454	118653	98	7062277	9956	269761	1406	113795	1812	161863693	2472152	65474821
8	Iran	6088009	5144	129177	132	5807089	12029	151743	3386	71213	1511	37996904	444461	85489886
9	Germany	5472949	54268	100160	343	4680000	30700	692789	3845	65032	1190	81975529	974075	84157309
10	Argentina	5317633	1644	116415	33	5183960	1139	17258	570	116173	2543	25947674	566872	45773465
11	Spain	5103315	6777	87866	34	4909900	2556	105549	547	109092	1878	66213858	1415430	46780022
12	Colombia	5052733	2478	128188	50	4893420	2430	31125	342	97849	2482	27788024	538129	51638228
13	Italy	4942135	10047	133330	67	4654295	6965	154510	560	81908	2210	115456590	1913501	60337881
14	Indonesia	4253992	394	143753	9	4102323	434	7916		15327	518	52531079	189266	277551902
15	Mexico	3864278	916	292524	53	3227027	2423	344727	4798	29539	2236	11709481	89509	130819408
16	Poland	3377698	19936	81228	398	2913320	11520	383150	1551	89384	2150	23788624	629515	37788825
17	Ukraine	3353136	12729	82318	720	2796597	23107	474221	177	77319	1898	15595737	359619	43367377
18	South Africa	2948760	868	89635	51	2838524		20601	546	48861	1485	19126699	316930	60349910
19	Philippines	2827770	1103	47482	195	2761404	1969	18884	1170	25336	425	23984981	214896	111611785
20	Malaysia	2597080	5594	30110	47	2498345	4908	68625	532	78835	914	36888543	1119755	32943410
21	Netherlands	2488244	22956	19048	53	2063568	6261	405628	499	144769	1108	19205114	1117374	17187715
22	Peru	2226656	1539	200931	37				903	66247	5978	20008200	595282	33611307
23	Iraq	2076146	898	23712	26	2035630	1334	16804	110	50054	572	16215201	390937	41477784
24	Thailand	2076135	5126	20487	53	1972553	7748	83095	1595	29640	292	14913135	212911	70044088
25	Czechia	2018154	14492	32360	95	1785495	471	200299	764	187968	3014	42846389	3990658	10736672
26	Canada	1772319	2213	29555	29	1719116	2663	23648	480	46392	774	48215038	1262071	38203121
27	Romania	1766987	2736	55386	243	1653179	7447	58422	1490	92713	2906	15783964	828175	19058731
28	Chile	1747065	1760	38161	12	1643679	1779	65225	654	90312	1973	25126071	1298855	19344785
29	Japan	1726511	34	18349	2	1706997	130	1165	60	13709	146	27551935	218776	125936639
30	Belgium	1623560	14338	26669	35	1284012	6201	312879	632	139243	2287	23782072	2039644	11659912
31	Bangladesh	1574636	284	27958	3	1538855	318	7823	1377	9430	167	10761979	64453	166974687
32	Israel	1341305	140	8177		1327046	35	6082	128	143824	877	31188024	3344202	9326000
33	Pakistan	1282510	315	28668	5	1238980	8010	14862	1026	5653	126	21717637	95732	226859803
34	Serbia	1238861	3033	11335	54	1163052	5669	64474	213	142590	1305	6693075	770355	8688299
35	Sweden	1192560		15094		1152609	824	24857	25	117067	1482	13586095	1333669	10187008
36	Vietnam	1143967	11132	24118	167	911310	1034	208539	5295	11607	245	66370020	673407	98558559
37	Portugal	1126318	2560	18353	14	1062195	2535	45770	93	110910	1807	20775333	2045771	10155257
38	Austria	1079932	9513	12114	72	918366	12973	149452	577	118961	1334	107616106	11854603	9078002
39	Hungary	1032215	6518	33343	171	851314	3322	147558	663	107230	3464	8157875	847470	9626152
40	Kazakhstan	965518	769	12577	16	927618	1482	25323	528	50579	659	11575012	606356	19089465
41	Cuba	961276	234	8298	3	951670	346	1308	39	84941	733	10961558	968594	11316978
42	Switzerland	957764	4388	11427	2	850413		95924	148	109549	1307	12048025	1378051	8742800
43	Morocco	949133	157	14766	2	931298	155	3069	347	25297	394	10355588	276003	37519795
44	Jordan	923722	4549	11403	26	869540	2551	42779	936	89298	1102	11840048	1144606	10344216
45	Greece	894555	8100	17517	92	797643	6659	79395	597	86413	1692	33781234	3263237	10352063
46	Nepal	819699	313	11509	9	800890	273	7300		27446	385	4576966	153250	29866054
47	Georgia	819182	5085	11615	62	759657	4428	47910		205903	2919	11265085	2831496	3978492
48	UAE	741570	70	2144		736333	86	3093		73738	213	99402000	9884054	10056805
49	Tunisia	716609	311	25354	7	690226	193	1029	58	59763	2114	3151570	262831	11990857
50	Bulgaria	679983	3233	27658	151	545753	3026	106572	777	98899	4023	6373056	926922	6875501
51	Lebanon	660442	482	8666	11	627512		24264	186	97370	1278	4795578	707018	6782826
52	Belarus	643372	1453	4979	14	627789	1461	10604		68118	527	10228936	1083001	9444990
53	Slovakia	621423	6739	13985	66	512689	4900	94749	558	113744	2560	4414168	807963	5463328
54	Guatemala	614910	960	15855	6	597044	854	2011	5	33461	863	3074517	167305	18376706
55	Azerbaijan	576703	1904	7686	29	541327	1833	27690		56173	749	5449379	530793	10266479
56	Croatia	576633	4926	10438	62	535654	4048	30541	317	141680	2565	3366965	827271	4069964
57	Costa Rica	566119	167	7271	7	541156	678	17692	110	109736	1409	2715029	526279	5158914
58	Sri Lanka	558860	1499	14182	24	527528	418	17150		25947	658	5500800	255395	21538368
59	Saudi Arabia	549556	38	8827	1	538672	32	2057	50	15451	248	31078369	873760	35568557
60	Ireland	538255	3661	5609		425860	1731	106786	130	107338	1119	8762233	1747344	5014600
61	Bolivia	530369	883	19080	12	487824	776	23465	220	44589	1604	2569451	216016	11894712
62	Ecuador	524432		33128		443880		47424	759	29109	1839	1991800	110557	18015987
63	Myanmar	519102	631	19041	7	492558	777	7503		9452	347	5422639	98741	54918000
64	Panama	476343	214	7356	2	466519	199	2468	20	108031	1668	4195059	951409	4409310
65	Paraguay	462389	58	16364	1	445411	33	614	37	63738	2256	1934490	266659	7254538
66	Lithuania	458452	1993	6591	31	422629	3749	29232	136	171750	2469	6012112	2252315	2669303
67	Denmark	458001	4199	2820	4	403118		52063	50	78686	484	91411505	15704747	5820629
68	Palestine	428342		4513		421249		2580	40	81336	857	2704107	513471	5266326
69	Venezuela	426799	785	5097	9	413380	940	8322	681	15069	180	3359014	118594	28323608
70	S. Korea	420950	2698	3328	30	378561	1855	39061	549	8201	65	15804065	307887	51330688
71	Kuwait	413177	12	2465	1	410471	21	241	2	94798	566	5216088	1196764	4358492
72	Slovenia	405477	3394	5103	23	355539	3324	44835	204	195003	2454	1895871	911768	2079336
73	Dominican Republic	404284	846	4194	4	396135	1244	3955	193	36755	381	2416483	219692	10999426
74	Uruguay	398213	223	6116	1	390139	198	1958	15	114085	1752	4043364	1158388	3490508
