#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	49573122		805004		39318563		9449555	13343	148534	2412	755496996	2263665	333749517
2	India	34606541		469724		34037054	8548	99763	8944	24733	336	643510926	459914	1399198423
3	Brazil	22105872		615020		21339118		151734	8318	102963	2865	63776166	297051	214697495
4	UK	10276007		145140		9095983		1034884	916	150254	2122	363637864	5317066	68390701
5	Russia	9703107	33389	277640	1221	8400117	35185	1025350	2300	66449	1901	226100000	1548386	146023052
6	Turkey	8818144		77038		8350494		390612	1405	102988	900	108036172	1261768	85622825
7	France	7725114		119227		7137416		468471	1886	117980	1821	162981031	2489097	65477969
8	Iran	6121757		129912		5892574		99271	4312	71588	1519	38439240	449511	85513384
9	Germany	5953310		102552		4979700	42100	871058	4636	70735	1218	83816414	995880	84163150
10	Argentina	5332629		116597		5194780		21252	632	116477	2547	26260861	573600	45782522
11	Spain	5174720		88080		4924551		162089	741	110617	1883	66213858	1415418	46780416
12	Colombia	5071817		128586		4911593		31638	342	98196	2490	28160705	545221	51650076
13	Italy	5043620		133931		4709906		199783	686	83592	2220	119905510	1987298	60335946
14	Indonesia	4256687		143840		4104964		7883		15333	518	54746617	197203	277615084
15	Mexico	3891218	3345	294428	182	3248012	2793	348778	4798	29738	2250	11883217	90816	130848998
16	Poland	3596491	27356	84656	502	3066218	17690	445617	1862	95176	2240	24547160	649603	37787922
17	Ukraine	3463872	13531	87057	525	2995727	23535	381088	177	79883	2008	15962709	368130	43361664
18	South Africa	2976613		89871		2850142		36600	546	49309	1489	19529031	323509	60366253
19	Philippines	2833473	564	48752	40	2769533	694	15188	1023	25380	437	24238501	217106	111643668
20	Netherlands	2661691		19459		2120287		521945	605	154853	1132	19205114	1117321	17188541
21	Malaysia	2638221		30474		2544007		63740	500	80061	925	37882464	1149609	32952474
22	Peru	2236351		201176					971	66516	5984	20314089	604202	33621349
23	Czechia	2193289	21126	33317	67	1866997	380	292975	1064	204272	3103	43942413	4092576	10737105
24	Thailand	2125729	4971	20845	33	2031156	5402	73728	1369	30347	298	14913135	212899	70047905
25	Iraq	2082061		23844		2046224		11993	103	50173	575	16363328	394320	41497561
26	Canada	1795629		29714		1739899		26016	497	46993	778	48895595	1279643	38210346
27	Belgium	1786444	20409	27072	57	1345928	5012	413444	780	153198	2322	24849495	2130990	11661012
28	Romania	1780808		56618		1689184		35006	1121	93452	2971	16037036	841577	19055941
29	Chile	1764274		38356		1658430		67488	688	91185	1982	25644143	1325390	19348368
30	Japan	1727430	126	18362	2	1708219	140	849	38	13718	146	27983144	222215	125928213
31	Bangladesh	1576566		27983		1541348		7235	1382	9440	168	10907602	65311	167010523
32	Israel	1344103		8199		1330366		5538	115	144124	879	31188024	3344202	9326000
33	Pakistan	1285631	377	28745	8	1242718	364	14168	904	5665	127	22072293	97255	226953710
34	Serbia	1257025		11744		1196695		48586	191	144693	1352	6830241	786212	8687534
35	Vietnam	1252590		25448		992052		235090	6497	12707	258	68597022	695868	98577682
36	Sweden	1207498		15128		1159123		33247	41	118517	1485	13708481	1345501	10188382
37	Austria	1179244	8882	12625	72	1036553	13892	130066	637	129885	1391	111537645	12285068	9079123
38	Portugal	1151919		18458		1077683		55778	116	113438	1818	21283107	2095906	10154610
39	Hungary	1124726	10466	34931	218	902000	10309	187795	550	116847	3629	8516699	884795	9625618
40	Switzerland	1020311		11566		862570		146175	207	116685	1323	12468877	1425963	8744181
41	Kazakhstan	973045	753	12716	13	938335	952	21994	528	50960	666	11575012	606200	19094373
42	Cuba	962628		8305		953566		757	25	85062	734	11116221	982274	11316828
43	Jordan	958990		11633		890366		56991	1105	92688	1124	12220357	1181118	10346428
44	Morocco	950088		14779		932421		2888	347	25316	394	10458391	278672	37529355
45	Greece	945095		18234		850711		76150	690	91305	1762	36708282	3546366	10350956
46	Georgia	853833	3731	12191	72	796453	4295	45189		214621	3064	11662676	2931554	3978325
47	Nepal	821949	298	11535	6	803369	201	7045		27511	386	4642990	155401	29877524
48	UAE	742109		2148		737024		2937		73773	214	101637361	10103704	10059416
49	Tunisia	717710		25376		691184		1150	58	59841	2116	3180395	265175	11993558
50	Slovakia	697471	7853	14606	103	571321	7531	111544	600	127663	2673	4636537	848656	5463386
51	Bulgaria	697162		28542		563574		105046	694	101415	4152	6604490	960742	6874364
52	Lebanon	672548		8735		633490		30323	186	99164	1288	4795578	707087	6782161
53	Belarus	658328	1818	5114	16	646104	2318	7110		69702	541	10452213	1106649	9444922
54	Guatemala	618436		15956		601096		1384	5	33640	868	3128305	170165	18383960
55	Croatia	613914		10967		570933		32014	312	150861	2695	3463550	851118	4069414
56	Azerbaijan	590113		7884		556716		25513		57468	768	5551849	540669	10268474
57	Ireland	573905		5707		444404		123794	117	114419	1138	8983297	1790998	5015805
58	Costa Rica	566959		7305		549108		10546	77	109877	1416	2715029	526176	5159930
59	Sri Lanka	564733		14372		540783		9578		26217	667	5661108	262814	21540326
60	Saudi Arabia	549786		8837		538939		2010	39	15452	248	31538438	886399	35580416
61	Bolivia	538647		19188		493941		25518	220	45271	1613	2593083	217939	11898193
62	Ecuador	526870		33250		443880		49740	759	29235	1845	2013368	111718	18021847
63	Myanmar	522825		19111		498050		5664		9519	348	5605747	102060	54925960
64	Denmark	492521		2909		403118		86494	61	84610	500	94201944	16182917	5821073
65	Panama	477990		7367		468000		2623	20	108368	1670	4244336	962261	4410796
66	Lithuania	474184	1813	6788	20	439524	2058	27872	126	177698	2544	6202402	2324321	2668479
67	Paraguay	463121		16474		445856		791	42	63822	2270	1951099	268878	7256453
68	S. Korea	457612	5262	3705	47	400585	2262	53322	733	8915	72	15804065	307881	51331649
69	Venezuela	432514		5161		419724		7629	681	15271	182	3359014	118601	28321854
70	Palestine	431161	358	4542	3	423162	261	3457	50	81831	862	2736577	519381	5268925
71	Slovenia	425288	2125	5255	15	386456	3652	33577	274	204530	2527	1949539	937575	2079343
72	Kuwait	413383		2465		410646		272		94815	565	5350472	1227208	4359873
73	Dominican Republic	407474		4210		400650		2614	179	37037	383	2464049	223968	11001802
74	Uruguay	399966		6131		391664		2171	12	114578	1756	4119025	1179976	3490770
75	Mongolia	382523	441	2008	3	313256		67259	192	114086	599	4030048	1201950	3352926
76	Honduras	378046	70	10412	3	121195	559	246439	59	37329	1028	1121382	110728	10127318
77	Libya	373739	529	5476	10	350239	2009	18024		53365	782	1917300	273766	7003425
78	Ethiopia	371672		6771		349124		15777	234	3124	57	3877539	32588	118985257
79	Moldova	364433		9141		363774		-8,482	206	90639	2273	2210968	549898	4020688
80	Egypt	359516		20537		298084		40895	90	3422	195	3693367	35154	105062217
81	Armenia	339578	558	7631	21	318481	716	13466		114294	2568	2382972	802055	2971083
82	Oman	304581	9	4113		300021	10	447	2	57576	778	25000000	4725872	5290029
83	Bahrain	277721		1394		275999		328	2	155586	781	7421582	4157737	1785005
84	Bosnia and Herzegovina	275965		12628		192218		71119		84862	3883	1401319	430921	3251918
85	Norway	271623		1092		88952		181579	59	49555	199	8615687	1571855	5481222
86	Singapore	266049		726		253068		12255	61	44975	123	21098774	3566726	5915445
87	Latvia	255402	712	4232	19	239465	1422	11705	144	137560	2279	5357720	2885678	1856659
88	Kenya	255164		5335		248350		1479	20	4602	96	2839918	51221	55444596
89	Qatar	243758	151	611		241061	129	2086	11	86814	218	3005203	1070303	2807805
90	Estonia	223689	521	1808	5	205296	1433	16585	34	168466	1362	2346185	1766974	1327798
91	North Macedonia	215995		7592		200293		8110		103682	3644	1474094	707592	2083253
92	Nigeria	214270		2978		207312		3980	11	1004	14	3479682	16309	213355138
93	Australia	213339	1685	2021	10	194835		16483	68	8231	78	48247926	1861534	25918370
94	Algeria	210723		6076		144602		60045	16	4686	135	230861	5134	44970242
95	Zambia	210220	25	3667		206425	12	128	7	11000	192	2731797	142945	19110787
96	Albania	200173		3101		190378		6694	23	69665	1079	1395649	485722	2873348
97	Botswana	195068		2418		192048		602	1	80649	1000	1869359	772871	2418722
98	Uzbekistan	193633	209	1409	3	190305	277	1919	23	5669	41	1377915	40343	34155079
99	Finland	188108		1356	8	46000		140752	51	33876	244	7961115	1433685	5552905
100	Kyrgyzstan	183460	56	2752	3	178404	72	2304	131	27479	412	1838750	275412	6676362
101	Montenegro	157611		2310		152890		2411	60	250901	3677	908916	1446906	628179
102	Afghanistan	157387	16	7310	1	140596	15	9481	1124	3918	182	793967	19767	40166836
103	Mozambique	151594		1941		149538		115	8	4666	60	979501	30146	32491630
104	Zimbabwe	135337		4707		128784		1846	12	8922	310	1599473	105445	15168859
105	Cyprus	134965		598		124370		9997	51	110646	490	9477138	7769445	1219796
106	Ghana	130920		1209		129042		669	5	4093	38	1933408	60439	31989394
107	Namibia	129243		3573		125495		175	1	49595	1371	789822	303085	2605944
108	Uganda	127551		3252		97559		26740	115	2670	68	1963048	41086	47779415
109	Cambodia	120183	23	2949	5	116548	19	686		7050	173	2719826	159556	17046163
110	El Salvador	119803		3779	1	102982		13042	336	18339	578	1440742	220549	6532524
111	Cameroon	106794		1791		102716		2287	152	3886	65	1751774	63749	27479060
