#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	48999737		798551		38799986		9401200	12259	146830	2393	747324581	2239391	333717757
2	India	34555431		467468		33977830	9868	110133	8944	24701	334	637106009	455409	1398976181
3	Brazil	22055608		613697		21275209		166702	8318	102741	2859	63776166	297086	214672763
4	UK	10021497		144433		8874965		1002099	928	146546	2112	357537501	5228313	68384867
5	Russia	9468189		269057		8164826		1034306	2300	64841	1843	222300000	1522373	146022030
6	Turkey	8676639		75840		8208159		392640	1405	101353	886	105892796	1236950	85607956
7	France	7516746		118777		7080555		317414	1499	114802	1814	161863693	2472122	65475608
8	Iran	6097672		129376		5830653		137643	3368	71321	1513	38219247	447031	85495760
9	Germany	5623047		100796		4775300	30900	746951	4070	66815	1198	81975529	974058	84158769
10	Argentina	5322127		116480		5186639		19008	604	116265	2545	26029617	568634	45775729
11	Spain	5121100		87931		4912818		120351	571	109472	1880	66213858	1415427	46780120
12	Colombia	5057897		128290		4897986		31621	342	97943	2484	27891010	540092	51641190
13	Italy	4968341		133486		4668257		166598	588	82343	2212	116669093	1933612	60337397
14	Indonesia	4254815		143782		4102993		8040		15329	518	53126370	191400	277567698
15	Mexico	3876391	4128	293449	263	3234360	2298	348582	4798	29630	2243	11786219	90090	130826805
16	Poland	3434272		82186		2934027		418059	1657	90881	2175	23788624	629519	37788599
17	Ukraine	3400340	15936	84149	608	2877021	24569	439170	177	78410	1940	15746389	363105	43365949
18	South Africa	2952500		89771		2843961		18768	546	48920	1487	19318050	320079	60353996
19	Philippines	2830387	863	48017	142	2764517	791	17853	1170	25357	430	24070626	215648	111619756
20	Malaysia	2608979		30195		2510029		68755	516	79190	917	37192890	1128916	32945676
21	Netherlands	2534137		19158		2074448		440531	531	147437	1115	19205114	1117361	17187921
22	Peru	2229741		200987					929	66334	5979	20109465	598250	33613818
23	Thailand	2094886	6559	20643	64	1993964	6875	80279	1595	29908	295	14913135	212908	70045042
24	Czechia	2089857	27717	32643	48	1793794	360	263420	895	194645	3040	43241670	4027434	10736780
25	Iraq	2077665		23748		2038189		15728	129	50085	572	16254124	391829	41482728
26	Canada	1777814		29600		1725101		23113	480	46534	775	48388185	1266543	38204927
27	Romania	1771887		55829		1663637		52421	1341	92973	2929	15874280	832944	19058033
28	Chile	1751769		38218		1646390		67161	669	90551	1976	25262226	1305833	19345681
29	Japan	1726823	119	18353	1	1707419	128	1051	51	13712	146	27687132	219853	125934533
30	Belgium	1679861	20836	26793	50	1295650		357418	659	144068	2298	24142777	2070531	11660187
31	Bangladesh	1575185		27970		1539553		7662	1377	9433	168	10801869	64688	166983646
32	Israel	1341305		8182		1327046		6077	128	143824	877	31188024	3344202	9326000
33	Pakistan	1283475	252	28697	7	1241289	294	13489	958	5657	126	21832091	96226	226883280
34	Serbia	1244169		11433		1171640		61096	210	143204	1316	6743631	776191	8688108
35	Sweden	1196688		15110		1154394		27184	24	117468	1483	13586095	1333624	10187351
36	Vietnam	1168228		24407		942888		200933	5475	11853	248	67004193	679808	98563340
