#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	49969856		808763		39523573		9637520	13781	149713	2423	760636842	2278920	333770690
2	India	34641561		473537		34069608	8834	98416	8944	24756	338	648259067	463258	1399346585
3	Brazil	22143091		615674		21362553		164864	8318	103128	2867	63776166	297028	214713983
4	UK	10464389		145605		9220626		1098158	895	153000	2129	366108215	5352883	68394590
5	Russia	9833749	32136	282462	1184	8530476	28070	1020811	2300	67343	1934	228500000	1564814	146023734
6	Turkey	8901117		77830		8436712		386575	1405	103945	909	109449755	1278130	85632738
7	France	7917264		119535		7171351		626378	2066	120912	1826	167925512	2564549	65479543
8	Germany	6201582	21743	103747	143	5120100	37600	977735	4636	73683	1233	85782441	1019205	84166070
9	Iran	6137821	3356	130277	77	5930502	7186	77042	3232	71766	1523	39415479	460864	85525133
10	Argentina	5340676		116646		5201840		22190	656	116642	2548	26410553	576813	45787050
11	Spain	5202958		88159		4927391		187408	814	111220	1885	66213858	1415412	46780614
12	Italy	5109082		134195		4742887		232000	736	84679	2224	122335117	2027599	60334978
13	Colombia	5081064		128780		4921311		30973	342	98363	2493	28330663	548449	51656000
14	Indonesia	4257815	130	143876	9	4108297	2005	5642		15335	518	56152356	202244	277646675
15	Mexico	3901263	970	295202	48	3257676	1874	348385	4798	29812	2256	11949792	91315	130863794
16	Poland	3684671	13250	85700	25	3167754	25489	431217	1989	97510	2268	24948630	660236	37787471
17	Ukraine	3501955	4478	88519	239	3059741	9082	353695	177	80767	2042	16089778	371084	43358808
18	South Africa	3031694		89966		2858144		83584	546	50215	1490	19761834	327321	60374425
19	Philippines	2835154	543	49499	113	2772107	830	13548	899	25391	443	24390103	218433	111659609
20	Netherlands	2772919	20965	19702	34	2169993	11928	583224	618	161320	1146	19205114	1117294	17188954
21	Malaysia	2658772		30614		2566159		61999	471	80674	929	38384583	1164687	32957005
22	Czechia	2247067	6325	33768	45	1922562	166	290737	1014	209276	3145	44333278	4128895	10737322
23	Peru	2243415		201379					972	66716	5989	20555444	611289	33626370
24	Thailand	2145241	4000	20964	22	2055265	6450	69012	1369	30625	299	14913135	212893	70049814
25	Iraq	2084961	615	23903	18	2050960	927	10098	91	50231	576	16451108	396341	41507449
26	Belgium	1827467		27167		1358257		442043	821	156709	2330	25109681	2153200	11661562
27	Canada	1807703		29768		1746964		30971	497	47305	779	49099908	1284868	38213959
28	Romania	1786839	803	57153	54	1703284	1557	26402	881	93775	2999	16183286	849314	19054546
29	Chile	1774048	1501	38531	30	1668121	2760	67396	690	91681	1991	26010495	1344201	19350159
30	Japan	1727942	114	18364		1708711	73	867	29	13722	146	28151465	223559	125924001
31	Bangladesh	1577720	277	28005	4	1542600	326	7115	1373	9446	168	11000843	65862	167028441
32	Israel	1346243	137	8204		1332537	112	5502	112	144354	880	35400109	3795851	9326000
33	Vietnam	1323583	14591	26583	223	1013407	1130	286793	7006	13427	269	69947142	709495	98587244
34	Pakistan	1287161	336	28777	10	1246464	858	11920	862	5670	127	22252342	98028	227000663
35	Serbia	1265228	1565	11955	38	1213325	3178	39948	178	145644	1376	6895637	793774	8687151
36	Sweden	1212145		15136		1162658	731	34351	43	118965	1486	13708481	1345411	10189069
37	Austria	1203103	4625	12844	48	1087133	11651	103126	661	132505	1415	112907381	12435166	9079684
38	Portugal	1166787		18537		1086887		61363	134	114906	1826	21858506	2152638	10154287
39	Hungary	1157568	22699	35611	489	932204	21459	189753	586	120262	3700	8666739	900408	9625351
40	Switzerland	1063466	2744	11628	5	876261	5577	175577	234	121610	1330	12756006	1458684	8744872
41	Jordan	975956		11761		903088		61107	1194	94318	1137	12395866	1197954	10347534
42	Kazakhstan	975782	632	12785	16	942076	791	20921	528	51097	669	11575012	606122	19096827
43	Greece	966221		18595		876039		71587	715	93351	1797	38190109	3689722	10350402
44	Cuba	963090		8309		954175		606	22	85103	734	11202077	989867	11316753
45	Morocco	950591		14788		932920		2883	347	25326	394	10500927	279770	37534135
46	Georgia	867071	1778	12407	63	809830	3234	44834		217953	3119	11832476	2974298	3978242
47	Nepal	822830	238	11543	2	804901	357	6386	114	27535	386	4669794	156268	29883259
48	UAE	742376	48	2149	1	737400	70	2827		73790	214	102805056	10218457	10060722
49	Slovakia	732495	3020	14900	74	599858	4489	117737	625	134073	2727	4732283	866177	5463415
50	Tunisia	718443		25401		691640		1402	68	59896	2118	3198939	266691	11994909
51	Bulgaria	703160		28852		573497		100811	674	102296	4197	6704606	975386	6873795
52	Lebanon	678801		8775		634994		35032	186	100091	1294	4795578	707122	6781829
53	Belarus	665125	1312	5176	14	654000	1126	5949		70422	548	10539713	1115917	9444889
54	Croatia	631765	728	11269	51	594929	4588	25567	326	155258	2769	3512277	863150	4069138
55	Guatemala	619852		15986		602717		1149	5	33710	869	3150263	171326	18387588
56	Azerbaijan	596973	585	7983	16	565521	944	23469		58131	777	5608158	546100	10269472
57	Ireland	594250		5707		461979	3699	126564	110	118461	1138	9178076	1829611	5016408
58	Sri Lanka	568250	568	14484	23	542688	362	11078		26380	672	5695096	264380	21541305
59	Costa Rica	567383		7312		552158		7913	77	109949	1417	2715029	526124	5160438
60	Saudi Arabia	549955	43	8845	1	539082	26	2028	37	15454	249	31741301	891952	35586345
61	Bolivia	543390	531	19222	7	497887	772	26281	220	45663	1615	2593083	217907	11899933
62	Ecuador	526870		33250		443880		49740	759	29230	1845	2013368	111700	18024776
63	Myanmar	524638	231	19146	5	500701	397	4791		9551	349	5698201	103736	54929940
64	Denmark	516257	7146	2956	10	450856	3704	62445	65	88684	508	96055602	16500725	5821296
65	Lithuania	480310	465	6862	15	444874	318	28574	129	180022	2572	6246196	2341094	2668067
66	Panama	479053		7374		468838		2841	20	108591	1672	4270313	967987	4411539
67	S. Korea	477358	4324	3893	41	409041	1866	64424	744	9299	76	15804065	307879	51332130
68	Paraguay	463372		16478		446159		735	49	63848	2271	1961558	270283	7257410
