#	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/ 1M pop	Deaths/ 1M pop	Total Tests	Tests/ 1M pop	Population
1	USA	49428913		803045		39205902		9419966	13201	148104	2406	753993369	2259195	333744223
2	India	34596776		469247		34028506	10207	99023	8944	24727	335	642412315	459141	1399161383
3	Brazil	22094459		614754		21321631		158074	8318	102912	2863	63776166	297057	214693373
4	UK	10228772		144969		9062561		1021242	916	149566	2120	362531048	5300958	68389728
5	Russia	9669718	32837	276419	1226	8364932	35679	1028367	2300	66221	1893	225500000	1544279	146022882
6	Turkey	8795588		76842		8326381		392365	1405	102728	897	107680920	1257656	85620347
7	France	7675504		119131		7124909		431464	1824	117223	1819	162981031	2489112	65477576
8	Iran	6121757	4312	129912	82	5892574	9104	99271	4312	71591	1519	38439240	449527	85510446
9	Germany	5881423		102137		4937600	44300	841686	4459	69882	1214	83816414	995889	84162420
10	Argentina	5330748		116589		5193691		20468	617	116439	2547	26222843	572784	45781390
11	Spain	5164184		88052		4923140		152992	713	110392	1882	66213858	1415420	46780367
12	Colombia	5069644		128528		4909572		31544	342	98156	2489	28112712	544307	51648595
13	Italy	5028547		133828		4700449		194270	683	83342	2218	119331735	1977780	60336188
14	Indonesia	4256687	278	143840	10	4104964	307	7883		15333	518	54746617	197209	277607186
15	Mexico	3887873	3307	294246	296	3245219	2272	348408	4798	29714	2249	11861186	90650	130845299
16	Poland	3569137	29064	84153	570	3048528	10077	436456	1870	94452	2227	24433048	646582	37788035
17	Ukraine	3450341	11960	86532	557	2972192	26160	391617	177	79570	1996	15917165	367073	43362378
18	South Africa	2968052		89843		2849558		28651	546	49169	1488	19477054	322659	60364210
19	Philippines	2833038	500	48712	167	2768999	951	15327	1023	25377	436	24238501	217114	111639683
20	Netherlands	2643176		19414		2112638		511124	604	153776	1129	19205114	1117327	17188438
21	Malaysia	2632782		30425		2537204		65153	509	79899	923	37735175	1145179	32951341
22	Peru	2236351		201176					971	66518	5984	20314089	604225	33620094
23	Czechia	2172084	21973	33186	54	1860920	460	277978	1069	202298	3091	43809304	4080199	10737051
24	Thailand	2120758	4886	20812	43	2025754	6326	74192	1369	30276	297	14913135	212901	70047428
25	Iraq	2081172		23820		2045021		12331	103	50155	574	16341046	393807	41495089
26	Canada	1792500		29687		1737256		25557	497	46912	777	48807147	1277358	38209443
27	Romania	1780808	1141	56618	79	1689184	2432	35006	1121	93450	2971	16037036	841561	19056290
28	Belgium	1766035	16566	27015	49	1340916	7106	398104	760	151450	2317	24726131	2120435	11660874
29	Chile	1762751		38346		1656702		67703	696	91108	1982	25592070	1322730	19347920
30	Japan	1727304	83	18360	1	1708079	73	865	43	13716	146	27926519	221764	125929267
31	Bangladesh	1576284		27981		1540965		7338	1382	9438	168	10888751	65200	167006043
32	Israel	1343660		8196		1329800		5664	115	144077	879	31188024	3344202	9326000
33	Pakistan	1285254	414	28737	9	1242354	118	14163	896	5663	127	22028156	97065	226941972
34	Serbia	1254845		11691		1193265		49889	199	144440	1346	6814207	784358	8687629
35	Vietnam	1252590	14508	25448	196	992052	2704	235090	6497	12707	258	68597022	695885	98575292
36	Sweden	1204859		15119		1158493		31247	42	118260	1484	13708481	1345524	10188210
37	Austria	1170362	10367	12553	61	1022661	14752	135148	649	128909	1383	111071336	12233896	9078983
38	Portugal	1147249		18441		1075237		53571	116	112977	1816	21283107	2095889	10154691
39	Hungary	1114260	11152	34713	192	891691	9032	187856	562	115759	3606	8474664	880422	9625685
40	Switzerland	1020311	4902	11548	2	862570	1070	146193	207	116687	1321	12468877	1425991	8744009
41	Kazakhstan	972292	751	12703	7	937383	1433	22206	528	50922	665	11575012	606220	19093759
42	Cuba	962486		8304		953337		845	23	85049	734	11097946	980657	11316847
43	Jordan	953943		11608		887074		55261	1064	92203	1122	12169073	1176193	10346151
44	Morocco	949917		14776		932291		2850	347	25312	394	10444492	278311	37528160
45	Greece	938903		18157		843050		77696	664	90706	1754	36357597	3512440	10351094
46	Georgia	850102	4459	12119	65	792158	3957	45825		213682	3046	11612050	2918813	3978346
47	Nepal	821651	285	11529	3	803168	259	6954		27502	386	4633479	155090	29876090
48	UAE	742041		2147		736939		2955		73768	213	101356006	10076061	10059090
49	Tunisia	717572		25373		691031		1168	58	59831	2116	3177078	264906	11993220
50	Bulgaria	695057		28453		561485		105119	717	101106	4139	6576558	956659	6874506
51	Slovakia	689618	9534	14503	85	563790	8265	111325	585	126226	2655	4613592	844458	5463379
52	Lebanon	670656		8725		633299		28632	186	98884	1286	4795578	707078	6782245
53	Belarus	656510	1792	5098	17	643786	2216	7626		69509	540	10425536	1103823	9444931
54	Guatemala	617984		15943		600621		1420	5	33617	867	3120035	169723	18383054
55	Croatia	613914	5709	10967	68	570933	3064	32014	312	150858	2695	3463550	851103	4069482
56	Azerbaijan	588318		7856		554749		25713		57295	765	5539284	539459	10268225
57	Ireland	570115		5652		441593		122870	122	113667	1127	8983297	1791052	5015655
58	Costa Rica	566839		7299		548020		11520	83	109857	1415	2715029	526188	5159803
